Russia,Ossetian
"Последний человек, которому я рассказал свою идею, решил, что я сумасшедший.",The last person I told my idea to thought I was nuts.
"Если бы мир не был таким, каков он сейчас, я мог бы доверять людям.","If the world weren't in the shape it is now, I could trust anyone."
"К сожалению, это правда.",It is unfortunately true.
"К сожалению, это правда.","Unfortunately, it's true."
"Они слишком заняты склоками друг с другом, чтобы думать об общих идеалах.",They are too busy fighting against each other to care for common ideals.
"Большинство людей думает, что я сумасшедший.",Most people think I'm crazy.
"Нет, не я, а ты!",No I'm not; you are!
"Нет, не я, а ты!","No, not me, but you!"
Это мой ответ!,That's MY line!
Он меня пинает!,He's kicking me!
Ты уверен?,Are you sure?
Тогда это проблема...,Then there is a problem...
"О, здесь бабочка!","Oh, there's a butterfly!"
Это не удивительно.,It doesn't surprise me.
Если бы я мог быть таким...,If I could be like that...
Почему-то по ночам я бодрее.,For some reason I feel more alive at night.
Это зависит от контекста.,It depends on the context.
Это зависит от контекста.,That depends on the context.
Ты шутишь?,Are you freaking kidding me?!
Ты шутишь?,Are you kidding?
Ты шутишь?,Are you joking?
"Это самая глупая вещь, которую я когда-либо говорил.",That's the stupidest thing I've ever said.
"Я не хочу быть жалким, я хочу быть крутым!!",I don't want to be lame; I want to be cool!!
"Я не хочу быть жалким, я хочу быть крутым!!","I don't want to be lame, I want to be cool!!"
"Когда я вырасту, я хочу стать королём.","When I grow up, I want to be a king."
"Америка - это очень милое место, если вы находитесь здесь с целью заработать деньги.","America is a lovely place to be, if you are here to earn money."
Я такой жирный.,I'm so fat.
Так что?,So what?
Так что?,Then what?
Так что?,"Yeah, and?"
Так что?,So?
Я пристрелю его.,I'm gonna shoot him.
Я пристрелю его.,I will shoot him.
Я не настоящая рыба; я всего лишь плюшевая игрушка.,"I'm not a real fish, I'm just a mere plushy."
Я всего лишь говорю!,I'm just saying!
"Скорее всего, это и повлияло на их решение.",That was probably what influenced their decision.
"Мне всегда было интересно, как это - иметь братьев и сестер.",I've always wondered what it'd be like to have siblings.
Я бы так и сказал.,This is what I would have said.
"Это потому, что ты девушка.",That's because you're a girl.
"Это потому, что ты девушка.",It's because you're a girl.
Иногда я не могу сдержать эмоций.,Sometimes I can't help showing emotions.
Иногда я не могу сдержать эмоций.,Sometimes I can't hold back my emotions.
"Это и есть то слово, для которого я хотел бы найти замену.",It's a word I'd like to find a substitute for.
"Это было что-то, что я должен был запрограммировать.",It would be something I'd have to program.
Я не хочу быть эгоистичным.,I don't intend to be selfish.
"Давай подумаем, что может произойти в худшем случае.",Let's consider the worst that could happen.
"Давай подумаем, что может произойти в худшем случае.",Let's think about the worst that could happen.
Сколько у тебя близких друзей?,How many close friends do you have?
"Быть может, я и асоциален, но это не значит, что я не общаюсь с людьми.","I may be antisocial, but it doesn't mean I don't talk to people."
Так оно и есть.,It's true.
Так оно и есть.,This is true.
Так оно и есть.,That's true.
"Думаю, лучше вести себя воспитанно.",I think it is best not to be impolite.
Время всегда можно найти.,One can always find time.
"Быть может, я несчастлив, но я не собираюсь убивать себя.","I'd be unhappy, but I wouldn't kill myself."
"Когда я учился в средней школе, я вставал в 6:00 каждое утро.","Back in high school, I got up at 6 a.m. every morning."
"Когда я проснулся, мне было грустно.","When I woke up, I was sad."
"Я думал, ты любишь изучать новые вещи.",I thought you liked to learn new things.
"Если бы я мог послать тебе зефир, Чанг, я сделал бы это.","If I could send you a marshmallow, Trang, I would."
"Ты должен рискнуть, чтобы сделать это.","In order to do that, you have to take risks."
Каждый одинокий человек одинок из-за страха перед окружающими.,Every person who is alone is alone because they are afraid of others.
Почему ты спрашиваешь?,Why do you ask?
Почему ты спрашиваешь?,And why do you ask?
Почему ты спрашиваешь?,Why are you asking?
Я не художник. Я совсем не гожусь для этого.,I am not an artist. I never had the knack for it.
Я не могу сказать ей это сейчас. Это уже не так просто.,I can't tell her now. It's not that simple anymore.
"Я человек с недостатками, но это недостатки, которые могут быть легко устранены.","I am a flawed person, but these are flaws that can easily be fixed."
"Всегда, когда я нахожу что-либо, что мне нравится, это слишком дорого.","Whenever I find something I like, it's too expensive."
Сколько ты там пробыл?,How long did you stay?
"Может, для него это будет то же самое.",Maybe it will be exactly the same for him.
Невинность - это прекрасная штука.,Innocence is a beautiful thing.
Люди не могут жить вечно.,Humans were never meant to live forever.
"Я не хочу менять свои взгляды, даже если они несколько экстремальны.","I don't want to lose my ideas, even though some of them are a bit extreme."
"Думаю, у меня есть теория на этот счёт.",I think I have a theory about that.
Это интересно.,That is intriguing.
Это интересно.,That's interesting.
Это интересно.,This is interesting.
"Ты хочешь сказать, что намеренно скрываешь свою красоту?",You are saying you intentionally hide your good looks?
"Ты хочешь сказать, что намеренно скрываешь свою красоту?",Do you mean you hide your beauty intentionally?
У меня нет учетной записи на этих форумах.,I do not have an account in these forums.
"Если кто-либо спросит, в чем суть истории, я действительно не знаю.","If anyone was to ask what the point of the story is, I really don't know."
"Я не знал, откуда это пришло.",I didn't know where it came from.
"Я думаю, наше совместное проживание повлияло на твой стиль жизни.",I think my living with you has influenced your way of living.
Это не важно.,This is not important.
Это не важно.,It's not important.
Это не важно.,It isn't important.
Мне это не нравилось.,I didn't like it.
"Она спрашивает, как это возможно.",She's asking how that's possible.
Ты просто убегаешь от жизненных проблем.,You're just running away from life's problems.
"Если взглянуть на текст песни, ясно, что он на самом деле ничего не значит.","If you look at the lyrics, they don't really mean much."
"Есть проблема, которую ты не понимаешь.",There's a problem there that you don't see.
Ты можешь сделать это!,You can do it.
"Моему учителю физики все равно, пропущу ли я занятия.",My physics teacher doesn't care if I skip classes.
Я хотела бы иметь возможность поехать в Японию.,I wish I could go to Japan.
Я не люблю толпу.,I hate it when there are a lot of people.
Мне нужно идти спать.,I have to go to bed.
"Потом я ушел оттуда, но понял, что забыл сумку.","After that, I left, but then I realized that I forgot my backpack at their house."
Я не буду вас сегодня больше ни о чем спрашивать.,I won't ask you anything else today.
На следующей неделе могут быть заморозки.,It may freeze next week.
"Несмотря на то, что он извинился, я все ещё в бешенстве.","Even though he apologized, I'm still furious."
Полиция вас заставит найти пули.,The police will get you to find the bullets.
"Спасибо за то, что наконец объяснили, почему люди принимают меня за идиота.",Thanks for having explained to me at last why people take me for an idiot.
Это не было моим намерением.,That wasn't my intention.
Спасибо за объяснение.,Thanks for your explanation.
Спасибо за объяснение.,Thanks for the explanation.
"Теоретически, я занимаюсь математикой.","Theoretically, I'm doing math."
Что случилось?,What happened?
Что случилось?,What's happened?
Что случилось?,What has happened?
"Если вы не знали меня с этой стороны, то вы вообще меня не знали.",If you didn't know me that way then you simply didn't know me.
"Я испытываю страх, если не вижу тебя в онлайне в течение всего дня.",It scares me not to see you online the entire day.
"Я не понимаю, что ты имеешь в виду.",I don't know what you mean.
"Я не понимаю, что ты имеешь в виду.",I don't understand what you mean.
Мой компьютер кое на что годится.,My computer has got to be useful for something.
Ты хотел мне рассказать о свободе?,You wanted to tell me about freedom?
"Хм, теперь это действительно странно...","Uh, now it's really weird..."
"Если бы я хотел напугать тебя, я бы рассказал тебе, что мне снилось несколько недель назад.","If I wanted to scare you, I would tell you what I dreamt about a few weeks ago."
Нельзя ожидать всего от школы.,One can't expect everything from schools.
"Есть много слов, которые я не понимаю.",There are many words that I don't understand.
"Я не люблю, когда математики, знающие намного больше меня, не могут ясно выражать свои мысли.",I don't like it when mathematicians who know much more than I do can't express themselves explicitly.
Ты действительно не глуп.,You're really not stupid.
Мне нужно задать тебе глупый вопрос.,I need to ask you a silly question.
"Я не знаю, как показать это, поскольку это и так вполне ясно.","I don't know how to demonstrate it, since it's too obvious!"
"Мне не хотелось бы думать, что однажды мне придется искать слово ""виагра"" в Википедии.","I don't want to imagine ever looking up ""Viagra"" on Wikipedia."
Можно сформулировать это по-другому?,Can it be phrased in another way?
Никто не узнает.,No one will know.
Никто не узнает.,Nobody will know.
"Я нашел решение, но я нашел его настолько быстро, что оно определенно не может быть верным.","I found a solution, but I found it so fast that it can't be the right solution."
Мне это кажется интересным!,It seems interesting to me.
"За исключением этого места, все не так просто.","Except that here, it's not so simple."
Я люблю свет свечей.,I like candlelight.
Что ты ответил?,What did you answer?
"Нет, это не мой новый бойфренд.","No, he's not my new boyfriend."
"Жаль, что мне не нужно сбрасывать вес.",It's too bad that I don't need to lose weight.
У тебя вообще не бывает занятий или что?,You never have class or what?!
"Тогда я поразгадываю судоку, вместо того чтобы беспокоить тебя.",I will play Sudoku then instead of continuing to bother you.
В чем проблема?,Where is the problem?
В чем проблема?,What is the problem?
В чем проблема?,What's the problem?
Я могу только ждать.,I can only wait.
"Это совсем не удивительно, не так ли?","It's not much of a surprise, is it?"
Я люблю тебя!,I love you.
Ты мне больше не нравишься.,I don't like you anymore.
Я любопытный.,I am curious.
Мои поздравления.,Congratulations!
Я не хочу ждать так долго.,I don't want to wait that long.
Почему ты не придешь навестить нас?,Why don't you come visit us?
Но вероятность невелика.,But the possibility seems unlikely.
"Я уже не знаю, что делать.",I don't know what to do anymore.
"Я уже не знаю, что делать.",I don't know what to do any more.
"Когда-нибудь я обязательно поеду во Францию, просто пока не знаю когда.","It is inevitable that I go to France someday, I just don't know when."
"Когда-нибудь я обязательно поеду во Францию, просто пока не знаю когда.",Sometime I'll definitely visit France. I just don't know exactly when.
Я ненавижу химию.,I hate chemistry.
"Я не хотел, чтобы это случилось.",I didn't want this to happen.
"Я не хотел, чтобы это случилось.",I didn't want that to happen.
"Я не хотел, чтобы это случилось.",I didn't want it to happen.
"Ты, наверно, догадываешься, что случится.",You can probably guess what happens though.
Какие у меня есть еще варианты?,What other options do I have?
Какие у меня есть еще варианты?,What options do I have left?
Во мне нет тяги к путешествиям.,I am not much of a traveller.
Не могу сделать ничего лучше.,I can't do any better.
У каждого есть сильные и слабые стороны.,Everyone has strengths and weaknesses.
На самом деле я смеялся до слёз над эпизодом 21.,"Seriously though, episode 21 made me almost cry while laughing."
"Это лишь показывает, что ты не робот.",It only shows you're not a robot.
Как я могу быть роботом? Роботы не мечтают.,How could I be a robot? Robots don't dream.
"Это не то, что может сделать каждый.",It's not something anyone can do.
"Я не знаю, есть ли все еще у меня это.",I don't know if I still have it.
"Что ты думаешь, я делал?",What do you think I've been doing?
Не недооценивай мои силы.,Don't underestimate my power.
Моя мама говорит по-английски недостаточно хорошо.,My mom doesn't speak English very well.
Я не говорю по-французски настолько хорошо.,I don't speak French well enough!
"Я гадал, появишься ли ты сегодня.",I was wondering if you were going to show up today.
В этом и заключается проблема.,Therein lies the problem.
Как ты найдешь еду в космосе?,How do you find food in outer space?
"Тебе ничего не остаётся, кроме того, как довериться кому-либо.",All you can do is trust in someone.
"Все хотят встретиться с вами, вы знаменитость!",Everyone wants to meet you. You're famous!
"Зачем ты сожалеешь о том, чего не сделал?",Why are you sorry for something you haven't done?
Я терпеть не могу формальный стиль письма!,I utterly despise formal writing!
Иностранцы занятны.,Foreign people intrigue me.
Иностранцы занятны.,Foreign people are amusing.
"Что бы я ни сделал, она говорит, что я мог бы сделать это лучше.","Whatever I do, she says I can do better."
Почему ты ещё не спишь так поздно?,What keeps you up so late?
"Ты сам удивишься, сколько можно выучить за неделю.",You'd be surprised what you can learn in a week.
"У меня нет никого, кто бы со мной поехал.",I don't have anyone who'd travel with me.
Ты недостаточно быстр.,You're not fast enough.
Выносить что-либо может быть невыносимо.,Bearing can be unbearable.
Одна лишь правда красива.,Nothing is beautiful but the truth.
Завтра он прилунится.,"Tomorrow, he will land on the moon."
Я не говорю по-японски.,I don't speak Japanese.
Это игра слов.,This is a pun.
Никто меня не понимает.,Nobody understands me.
Я научился жить без неё.,I learned to live without her.
Дальше размышлять не имеет смысла.,It's useless to keep on thinking any more.
Я просто хотел проверить почтовый ящик.,I just wanted to check my email.
"Это займёт у меня слишком много времени, чтобы объяснить, почему это не будет работать.",It would take me too much time to explain to you why it's not going to work.
Не может быть!,It can't be!
Не может быть!,No way!
"Пожалуйста, не плачь.",Please don't cry.
"Единственные полезные ответы - те, которые поднимают новые вопросы.",The only useful answers are those that raise new questions.
Сомневаться в себе есть первый признак ума.,To have doubts about oneself is the first sign of intelligence.
Довольно сложно выучить французский за 2—3 года.,It's quite difficult to master French in 2 or 3 years.
"Я думаю, что экзамены портят образование.",I think exams are ruining education.
"""Кошка?"" - спросил пожилой мужчина.","""A cat?"" asked the old man."
"Всё то, что было изобретено, правильно.","All that which is invented, is true."
"Изумление, удивление - это первый шаг на пути к постижению.","To be surprised, to wonder, is to begin to understand."
Нет сомненья: вселенная бесконечна.,There's no doubt: the universe is infinite.
"Мы видим вещи не такими, какие они есть, а такими, каковы мы сами.","We don't see things as they are, but as we are."
Мир - это клетка для безумных.,The world is a den of crazies.
Меня зовут Джек.,My name is Jack.
Мне это очень нравится.,I like it very much.
Любовь не пропадает даром.,Love is never wasted.
"Жизнь — то, что с тобой случается, пока ты занят другими делами.",Life is what happens to you while you're busy making other plans.
Не желать обладать - всё равно что обладать.,Not wanting is the same as having.
По твоей вине я потерял аппетит.,Thanks to you I've lost my appetite.
"Математика есть часть науки, которой можно было бы продолжать заниматься, проснувшись утром и поняв, что вселенной больше нет.",Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.
"Ты знаешь, как говорят: ""что посеешь, то и пожнёшь"". Я посеял ветер, а вот и буря.","You know the phrase, we reap what we sow. I have sown the wind and this is my storm."
Это слишком дорого!,It's too expensive!
Это слишком дорого!,This is too expensive!
Он был бы рад услышать это.,He would be glad to hear that.
"Прошлое можно только знать, но не изменять. Будущее можно только изменять, но не знать.","The past can only be known, not changed. The future can only be changed, not known."
Я проголодался!,I'm starving!
Реальных видений не бывает.,There are no real visions.
Всё возможно - было бы желание.,"Where there's a will, there's a way."
Целое больше суммы его частей.,The whole is greater than the sum of the parts.
Возьми книгу и прочитай её!,Take a book and read it.
Он уже мужчина.,He's already a man.
Ты прав.,You're right.
Жизнь прекрасна.,Life is beautiful.
Жизнь прекрасна.,Life is sweet.
Ты за или против абортов?,Are you for or against abortions?
Я люблю лазанью.,I love lasagna.
Я не хочу идти в школу.,I don't want to go to school.
"Мнение шокирует лишь тогда, когда это убеждение.",An opinion is shocking only if it is a conviction.
Я потерял вдохновение.,I lost my inspiration.
Маленький огонь в лесу может легко распространиться и быстро стать огромным пожаром.,A small forest fire can easily spread and quickly become a great conflagration.
"Жизнь начинается, когда определяешься, чего от неё хочешь.",Life starts when you decide what you are expecting from it.
О чём ты?,What are you talking about?
О чём ты?,What are you talking about!?
О чём ты?,What are you on about?
О чём ты?,What are you talking about?!
Зима — моё любимое время года.,Winter is my favorite season.
Зима — моё любимое время года.,Winter is the season I like best.
Из какой ты страны?,Which country are you from?
Из какой ты страны?,What country are you from?
Доброе утро!,Good morning!
Доброе утро!,Good morning.
Не важно.,Never mind.
Сделай что-нибудь!,Do something!
Что ты хочешь делать?,What do you want to do?
Я сейчас уставший.,I'm tired now.
"Подумай об этом, пожалуйста.",Please think about it.
Ты слишком много думаешь.,You think too much.
Подумай об этом.,Think about it.
Подумай об этом.,Think about it!
"""Где твой дом?"" – ""Он вон там"".","""Where is your house?"" ""It is over there."""
"Символ ""&"" ставится вместо ""и"".",The sign '&' stands for 'and'.
"""Кто эта девочка?"" — ""Это Кейко"".","""Who is that girl?"" ""That's Keiko."""
"""Я видел ее пять дней назад"", — сказал он.","""I saw her five days ago,"" he said."
Во Вселенной есть много галактик.,There are many galaxies in the universe.
Она каждое утро принимает душ.,She showers every morning.
Она каждое утро принимает душ.,She takes a shower every morning.
Наш самолёт летел над облаками.,Our plane was flying above the clouds.
У Майка есть несколько друзей во Флориде.,Mike has a few friends in Florida.
Город подвергся бомбардировке вражеских самолётов.,The city was bombed by enemy planes.
Ему не было суждено встретить её ещё раз.,He wasn't destined to see her again.
Нет любви без ревности.,There's no love without jealousy.
"У меня уйдёт слишком много времени на объяснение, почему это не сработает.",It would take me too much time to explain to you why it's not going to work.
"Например, тебе нравится английский?","For example, do you like English?"
Когда Вам будет удобно?,When would it be convenient for you?
Я прочитал этот рассказ в какой-то книге.,I have read that story in some book.
"Ты не знаешь, где мои часы?",Do you know where my watch is?
Вы когда-либо летали на воздушном шаре?,Have you ever ridden in a hot air balloon?
Продают ли в этом магазине тетради?,Do they sell notebooks at that store?
"Я бегу как можно быстрее, чтобы догнать его.",I'm running as fast as I can to run him down.
"Дайте, пожалуйста, стакан воды.",Please give me a glass of water.
"Я видел, как он бежал.",I saw him running.
Приближается Рождество.,Christmas is just around the corner.
Приближается Рождество.,Christmas is coming.
Приближается Рождество.,Christmas is approaching.
"Мне не надо было поливать цветы. Как только я закончил, начался дождь.","I needn't have watered the flowers. Just after I finished, it started raining."
Я перезвоню тебе позже.,I'll call you back later.
"Человек — это единственное животное, которое может смеяться.",Man is the only animal that can laugh.
Его знали все в деревне.,Everybody in the village knew him.
Я заказал два гамбургера.,I ordered two hamburgers.
"Ты знаешь, кто она такая?",Do you know who she is?
Посмотри на тот дым.,Look at that smoke.
В эту сумму включены налоги.,This amount includes tax.
Эта школа была основана в 1650 году.,The school was established in 1650.
Эта школа была основана в 1650 году.,This school was founded in 1650.
Я случайно нашёл этот ресторан.,I found that restaurant by accident.
Я случайно нашёл этот ресторан.,I found this restaurant by chance.
Он спит как младенец.,He's sleeping like a baby.
Эта проблема возникла из-за неправильного понимания друг друга.,This problem arose from a mutual misunderstanding.
"Они скажут: ""Ага!""","""Aha!"" they would say."
Этот кондиционер потребляет много электричества.,This air conditioner consumes a lot of electricity.
Всё распродано!,All sold out!
Я не хотел никого обидеть.,No offense was meant.
Он легко решил эту задачу.,He solved the problem with ease.
Тебе следует учитывать его возраст.,You must take his age into account.
Этот сад лучше всего выглядит весной.,The garden is at its best in spring.
Этот сыр изготовлен из овечьего молока.,That cheese is made from sheep's milk.
Я не могу позволить себе зря потратить хоть одну иену.,I can't afford to waste a single yen.
Гора укрыта снегом.,The mountain is covered with snow.
Не вини в этом её.,Don't blame it on her.
"Пожалуйста, дайте мне ещё один шанс.",Please give me another chance.
Вы знаете столицу Бельгии?,Do you know the capital of Belgium?
Было очень приятно увидеть тебя снова.,It was very nice seeing you again.
"Есть случаи, когда это правило не выполняется.",There are some cases where the rule does not hold good.
Она бросила курить.,She stopped smoking.
Она бросила курить.,She gave up smoking.
Фильм взволновал всех зрителей.,The movie thrilled the entire audience.
"На фотографии у девушки корона не из золота, а из цветов.",The girl in the picture is wearing a crown not of gold but of flowers.
Не забывай нас!,Don't forget us!
Выпало много снега.,Much snow has fallen.
Идёт снег.,Snow is falling.
Может пойти снег.,It may snow.
Дождь перешёл в снег.,The rain changed into snow.
У нас в январе идёт снег.,We have snow in January.
Маюко приснился странный сон.,Mayuko dreamed a strange dream.
Маюко приснился странный сон.,Mayuko dreamt a strange dream.
Рейн течёт между Францией и Германией.,The Rhine runs between France and Germany.
Ирландия известна своим кружевом.,Ireland is famous for lace.
"""Трасянка"" будет приравнена к белорусскому языку во время переписи.","""Trasianka"" will be equalized with Belarusian language during the census."
Добро пожаловать в Японию.,Welcome to Japan.
Его родная страна — Грузия.,Georgia is his native state.
"У маленького Мартина было достаточно тихое детство в Атланте, штат Джорджия.","Young Martin spent a fairly quiet childhood in Atlanta, Georgia."
"Забронируйте, пожалуйста, комнату возле международного аэропорта в Торонто.",Would you please reserve a room near the Toronto International Airport?
Я буду тут до десяти.,I'll stay here until ten.
Майку нравится играть в баскетбол.,Mike likes to play basketball.
Танабата празднуется в июле.,The Star Festival is in July.
Она не боится ничего.,She is not afraid of anything.
У Дика произошла автомобильная авария.,Dick had a traffic accident.
Я Сьюзан Грин.,I'm Susan Greene.
Билл старше меня на два года.,Bill is two years older than I.
Том пошёл через дорогу.,Tom walked across the street.
Вот мы здесь.,Here we are.
Боб — мой друг.,Bob is my friend.
Г-н Ванг из Китая.,Mr Wang is from China.
В этом доме 6 комнат.,This house has six rooms.
Я не понимаю.,I don't get it.
Я не понимаю.,I do not understand.
Я не понимаю.,I don't understand.
Хороший вопрос.,Good question!
Хороший вопрос.,A good question.
Мне нравятся музыка и английский язык.,I like English and music.
"Ему нравится и спорт, и учёба.",He likes sports as well as study.
Мне нравится короткая стрижка.,I like the short hairstyle.
Распространяйте эсперанто!,Spread Esperanto!
"На посулы тароват, а на деле скуповат.",The greatest talkers are the least doers.
Войдите!,Come in.
Войдите!,Come on in.
Войдите!,Enter!
Добро пожаловать!,Welcome.
"Я очень устал, хочу лечь пораньше.",I'm really tired and want to go to bed early.
Поторапливайся!,Hurry up.
Наконец-то мы встретились! Я так долго ждал этого дня!,At last we meet! I've waited so long for this day!
Вы должны заботиться о своей больной матери.,You should take care of your sick mother.
Он странствовал по Европе несколько месяцев.,He spent a few months wandering around Europe.
Стиральная машина - замечательное изобретение.,The washing machine is a wonderful invention.
"Мэри выглядит не очень дружественно, но у нее доброе сердце.","Mary looks unfriendly, but she is really very kind at heart."
"Женщина, что сидит на диване, - моя бабушка.",The woman who is sitting on the sofa is my grandmother.
"Проблема требовала больших усилий, чтобы её решить.",The problem exacted a great effort to solve it.
"О нём я не знаю ничего, кроме имени.","I don't know anything about him, other than his name."
Я пробуду здесь недолго.,I'll stay here for a bit.
Так вести себя - это на него очень похоже.,It's like him to behave that way.
Папа купил мне фотоаппарат.,Dad bought me a camera.
Собака гналась за кошкой.,The dog ran after the cat.
"Даже если постирать, цвет не полиняет.","Even if you wash it, the color won't come out."
Лимоны кислые.,Lemons are sour.
Эксперимент закончился неудачей.,That experiment was a failure.
Он никогда не врет.,He never lies.
"Приехав на станцию, я позвонил своему другу.","On arriving at the station, I called a friend of mine."
"Приехав на станцию, я позвонил своему другу.",I called my friend after arriving at the station.
"В комнате не было ничего, кроме старого стула.",There was nothing but an old chair in the room.
В корзине лежит несколько яблок.,There are few apples in the basket.
Мои часы были украдены.,I had my watch stolen.
"Он ученый, которого все уважают.",He is a scientist who is respected by everybody.
"Нет, китайские блюда лучшие.","No, Chinese dishes are the best."
Куда ты вчера ходил?,Where did you go yesterday?
"Мне понадобилось 3 дня, чтобы убрать комнату.",It took me three days to clean the room.
Вам нравятся научно-фантастические фильмы?,Do you like SF movies?
Вам нравятся научно-фантастические фильмы?,Do you like sci-fi movies?
"Как только дверь открылась, они убежали.","As soon as the door opened, they ran away."
Он обещал жениться на ней.,He promised to marry her.
Выставка уже открыта.,The exhibition is now open.
Дата и адрес обычно пишутся в шапке писем.,The date and address is usually written at the head of letters.
У меня сильная зубная боль.,I have a bad toothache.
"У него есть ""тойота"".",He has a Toyota.
У Билла есть много друзей.,Bill has many friends.
У автора красивый стиль.,The author has a beautiful style.
Все цивилизованные страны против войны.,All civilized countries are against war.
"Если бы не мой совет, ты бы потерпел неудачу.","If not for my advice, you would have failed."
Это был тихий зимний вечер.,It was a quiet winter evening.
Она была околдована его улыбкой.,She was bewitched by his smile.
Папа купил мне книги.,My dad bought me books.
"Я стал старше, поэтому я стал смотреть на вещи по-другому.","I got older, and so I started looking at things differently."
Он решил отложить свой отъезд.,He decided to put off his departure.
Я не люблю яблоки.,I don't like apples.
Ты занят в воскресенье после полудня?,Are you busy on Sunday afternoon?
Эта гора покрыта снегом круглый год.,This mountain is covered in snow all-year-round.
Эта гора покрыта снегом круглый год.,This mountain is covered with snow all year round.
Эта гора покрыта снегом круглый год.,This mountain is snow-covered the entire year.
"Несмотря на то, что она выросла в Японии, она свободно говорит по-английски.","Even though she grew up in Japan, she speaks fluent English."
Холодно.,It's cold.
"Прости меня, пожалуйста.",Please forgive me.
Я потерял кошелёк.,I have lost my wallet.
Я левша.,I'm left-handed.
Я левша.,I'm a lefty.
Я знаю её адрес.,I know her address.
"Что бы он ни делал, он делает это хорошо.","Regardless what he does, he does it well."
"Что бы он ни делал, он делает это хорошо.","No matter what he does, he does it well."
Он старше меня на три года.,He is three years senior to me.
Он старше меня на три года.,He's three years older than me.
Он старше меня на три года.,He is three years my senior.
Мой отец вернётся в начале следующего месяца.,My father will return at the beginning of next month.
На французском языке говорят во Франции.,French is spoken in France.
"Перед тем как выйти из дома, не забудьте выключить газ.",Don't forget to turn off the gas before leaving the house.
Он написал письмо.,He wrote a letter.
"То, что он гений, очевидно всем.",That he is a genius is clear to everyone.
"То, что он гений, очевидно всем.",It's obvious to everyone that he's a genius.
Она родила хорошенькую девочку на прошлой неделе.,She gave birth to a pretty baby girl last week.
