Чего ты смеёшься?	Цæуыл худыс?
Часть текста между двумя такими отступами, характеризующаяся относительной законченностью и единством смыслового содержания.	Æххæст хъуыды чи æвдисы,  тексты уыцы хай дыууæ сырх рæнхъы æхсæн.
По генеалогической классификации языков относится к абхазо-адыгской группе кавказской языковой семьи.	Генеалогион классификацимæ гæсгæ хауы кавказаг æвзæгты мыггаджы абхазаг-адыгъейаг къордмæ.
По генеалогической классификации языков относится к дагестанской группе кавказской языковой семьи.	Генеалогион классификацимæ гæсгæ хауы кавказаг æвзæгты мыггаджы дагъистайнаг  къордмæ.
Слова, указывающие на то, кому принадлежит прямая речь. 	Комкоммæ ныхас кæй у, уый цы дзырдтæй фæзæгъы дзурæг кæнæ фыссæг, уыдон.
Элементы одного языка, вошедшие в другой, в результате длительного сосуществования данных языков на одной или смежных территориях.	Кæцыдæр адæмыхаттæн се ‘взаджы хицæн хæйттæ  æндæр адæмы æвзагмæ куы бацæуынц, иумæ иу ран кæй цæрынц, кæнæ сыхагиуæг кæй кæнынц, уый фæстиуæгæн, æвзаджы ахæм фæзынд.
Раздел физики, учение о звуке.	Физикæйы иу хай, мыры тыххæй ахуырад.
Речевая акустика – раздел общей акустики, изучающий структуру речевого сигнала, процессы образования и восприятия звуков речи.	Ныхасы акустикæ – иумæйаг акустикæйы иу хай, ахуыр кæны, мыр куыд фæзыны æмæ куыд фæхъуысы, уый.
Своеобразие в произношении.	Ныхасы хъæды хицæндзинæдтæ.
Неправильное произношение звуков иностранного языка под влиянием норм родного языка.	Æцæгæлон æвзаджы мыртæ хи æвзаджы æндæвдадмæ гæсгæ раст нæ дзурын.
Один из германских языков индоевропейской языковой семьи.	Индоевропæйаг æвзæгты мыггаджы гермайнаг къорды  æвзæгтæй иу.
Распространен в Великобритании, Ирландии, Северной Америке, Австралии и т.д.	Ацы æвзагыл дзурынц Стыр Британи, Ирланди, Австрали, Цæгат Америкæйы æ.а.д.
Собственное имя человека как объект лингвистического изучения.	Адæймаджы сæрмагонд ном лингвистикæйы иртасæн объекты хуызы.
Совокупность собственных имён людей 	Адæймаджы сæрмагонд нæмтты 
Надстрочный знак в виде запятой, обозначающий в некоторых языках пропуск гласной.	Уæлрæнхъон нысан, иуæй-иу æвзæгты дзы фæнысан кæнынц хъæлæсоны рахауд.
Косвенная падежная форма, выражает субъектно-объектные и обстоятельственные отношения.	Фæрссаг хауæны формæ, амоны субъектон-объектон æмæ  фадатон ахастдзинæдтæ.
Устаревшее слово, называющее существующую реалию, но вытесненное из активного употребления синонимом.	Арæх кæмæй нал фæпайда кæнынц, йæ бæсты ног дзырд кæй фæзынд, уый тыххæй, ахæм зæронд дзырд.
Уподобление одного звука другому при близком соседстве.	Иу мыр иннæ мыры хуызæн куы свæййы, кæрæдзимæ хæстæг кæй лæууынц, уымæ гæсгæ.
Местоимение, называющее имеющийся, но неопределенный предмет, лицо, признак.	Бæлвырд чи ис, фæлæ бæрæггонд та чи нæу, уыцы предмет, цæсгом кæнæ миниуæг æвдисæг номивæг.
Часть речи, служащая для выражения чувств и волевых побуждений. 	Адæймаджы æнкъарæнтæ æмæ зæрдæйы уаг цы ныхасы хай æвдисы, уый.
Междометия не изменяются, не отвечают на вопросы, не являются членами предложения.	Æвастхъæртæ нæ ивынц, фæрстытæн дзуапп нæ дæттынц, нæ вæййынц хъуыдыйады уæнгтæ.
Группировка языков мира в языковые семьи на основании общности происхождения, родственных связей между ними.	Дунейы æвзæгты дих мыггæгтыл æмæ къордтыл сæ равзæрдмæ гæсгæ.
Система фонетических, лексических и грамматических средств, являющихся орудием выражения мыслей, чувств, волеизъявлений и служащая важнейшим средством общения людей.	Фонетикон, лексикон æмæ  грамматикон фæрæзты системæ, хъуыдытæ, æнкъарæнтæ, фæндтæ æвдисыны æмæ адæмты ‘хсæн бастдзинады сæйрагдæр фæрæз.
Согласные, при произнесении которых имеет место смычка артикулирующих органов на пути выдыхаемого воздуха.	Сæ дзургæйæ уæлдæф рацæуыны размæ артикуляцигæнæг оргæнтæ куы бангом вæййынц, уæд афтæмæй цы æмхъæлæсонтæ фæзæгъæм, уыдон.
Глагол, который не может иметь при себе прямого дополнения.	Комкоммæ æххæстгæнæн цы мивдисæджы дæлбар нæй бакæнæн, ахæм.
Переход звонкого согласного в соответствующий глухой в определенных положениях.	Зылангон æмхъæлæсоны рахызт йе ‘мкъай æзылангон  æмхъæлæсонмæ бæрæг уавæрты.
Местоимения, выражающие принадлежность кого-то или чего-то кому- или чему-нибудь.	Исчи кæнæ исты кæй у кæнæ цæй у, уый æвдисæг номивджытæ.
Вид связи в словосочетании, при котором главное слово требует от зависимого слова определенной падежной формы.	Сæйраг дзырд дæлбар дзырды бæрæг хауæны æвæрын куы фæдомы, уæд ахæм бастдзинады хуыз дзырдбасты мидæг.
Имена существительные, которые называют совокупности предметов. 	Предметты æмбырдгонд цы номдартæ февдисынц, уыдон.
Определение, выраженное именем существительным.	Номдарæй загъд чи ‘рцæуы, ахæм бæрæггæнæн.
Связь однородных членов предложения или частей бессоюзного сложного предложения посредством интонации, без помощи союзов.	Хъуыдыйады æмхуызон уæнгты кæнæ æнæбæттæг вазыгджын хъуыдыйады хæйтты бастдзинад æрмæст интонацийы фæрцы, æнæ бæттæгтæй.
Разряд слов, которые называют предметы неживой природы. Постоянная морфологическая категория.	Æдзард æрдзы предметтæ амонæг дзырдтæ. У иудадзыгон морфологион категори.
Тип предложения по эмоциональной окраске, лишенный, в отличие от восклицательного, эмоциональной окрашенности. 	Хъуыдыйады хуыз йæ эмоционалон ахуырстмæ гæсгæ.
По цели высказывания это может быть повествовательное, побудительное или вопросительное предложение.	Хъæрон хъуыдыйадæй хъауджыдæр, эмоционалон æгъдауæй ахуырст нæу. 
Гласные, произносимые с меньшей выделительной силой, несколько короче. 	Лæмæгъдæр хъæлæсы уагæй цы хъæлæсон мыртæ фæдзурæм, уыдон. 
Местоимения, образованные от вопросительных местоимений и передающие отрицательное значение.	Фарстон номивджытæй арæзт номивджытæ, ис сын æппæрццæг нысаниуæг.
Элемент, перенесенный из одного языка в другой в результате языковых контактов. 	Æвзæгты бастдзинады фæрцы иу æвзагæй иннæмæ хаст элемент.
Глагол указывает на действие, которое происходило, происходит или будет происходить.	Мивдисæг æвдисы, архайд кæд цыд, цæуы кæнæ цæудзæн, уый.
Графические знаки, с помощью которых оформляется текст: происходит членение текста на предложения, передаются особенности строения предложения, его интонационный рисунок.	Хъуыдыйадæн йæ интонацион ныв, йæ арæзты хицæндзинæдтæ æмæ хицæн хæйттыл кæй фæрцы дихгонд цæуы, уыцы графикон нысæнттæ.
К знакам препинания относятся: точка, запятая, двоеточие, тире, вопросительный знак, восклицательный знак, многоточие, точка с запятой, скобки, кавычки.	Æрхæцæн нысæнттæм хауынц: стъæлф, къæдзыг, дыстъæлф, тире, фарсты нысан, хъæры нысан, бирæстъæлфыг, стъæлф  къæдзыгимæ, къæлæттæ, дыкъæдзыгтæ.
Вид подчинительной связи по смыслу.	Æрмæст хъуыдыйы фæрцы домгæбастдзинады хуыз.
Двусоставное или односоставное предложение, структура которого не нарушена пропуском членов предложения.	Хъуыдыйады уæнгтæ цухгонд кæм не ‘рцæуынц, ахæм дывæрсыг кæнæ иувæрсыг хъуыдыйад.
Второстепенный член предложения со значением объекта действия или признака, выраженный обычно косвенным падежом имени.	Хъуыдыйады фæрссаг уæнг архайæг объект кæнæ миниуæджы нысаниуæгимæ.
Слова, не имеющие самостоятельного лексического значения и служащие для обозначения отношений между знаменательными частями речи. 	Хицæн лексикон нысаниуæг цы дзырдтæн нæй æмæ нысанхæссæг ныхасы хæйтты ‘хсæн бастдзинæдтæ цы дзырдтæ æвдисынц, уыдон.
Сложное предложение, части которого соединены между собой сочинительными союзами.	Йæ хæйттæ бабæтгæбастдзинады бæттæгтæй баст кæмæн сты, ахæм вазыгджын хъуыдыйад.
Грамматически не связанный с другими частями высказывания.	Грамматикон æгъдауæй раныхасы æндæр хæйттимæ баст чи нæу, ахæм.
Слово, грамматически не связанное с другими словами в предложении, не являющееся членом предложения.	Хъуыдыйады мидæг иннæ дзырдтимæ грамматикон æгъдауæй баст чи нæу, ахæм дзырд; хъуыдыйады уæнгыл нымад нæ цæуы. 
Слова, сочетания и предложения, вносящие дополнительные замечания в предложение или поясняющие отдельное его слово.	Хъуыдыйадмæ уæлæмхасæн фиппайнæгтæ кæнæ йæ хицæн дзырдты хуыздæр бамбарыны тыххæй цы дзырдтæ, дзырдбæстытæ, хъуыдыйæдтæ бахæссынц, уыдон.
Предложение, вставленное в другое предложение, но не связанное грамматически ни с одним из его членов.	Хъуыдыйады мидæг грамматикон æгъдауæй хъуыдыйады уæнгтæй иуимæ дæр баст чи нæу, ахæм хъуыдыйад.
Афоризм, образное выражение, вошедшее в язык из определенного литературного или исторического произведения.	Афоризм, æвзагмæ бæлвырд литературон кæнæ историон уацмысæй ист чи ‘рцыд, ахæм фæлгонцджын разагъд.
Союзы, выражающие отношения присоединения.	Бафтауыны ахастдзинæдтæ æвдисæг бæттæгтæ.
Глагол этого наклонения указывает на действие, которое возможно при определенных условиях, но пока еще не происходит в действительности.	Ацы здæхæны мивдисæг æвдисы, чи нæма цæуы, фæлæ бæрæг уавæрты уæвæн кæмæн ис, ахæм архайд.
Второстепенный член предложения со значением признака предмета, поясняющий имя существительное.	Предметы æууæл нысангæнæг хъуыдыйады фæрссаг уæнг. 
Служебное слово, соединяющее однородные члены предложения или предложения.	Æххуысгæнæг ныхасы хай хъуыдыйады æмхуызон уæнгтæ кæнæ  хъуыдыйæдтæ кæрæдзийыл бæттынæн.
Слово, которое, связывая между собой два предложения,  является одновременно членом одного из них. 	Дыууæ хъуыдыйады бæтгæйæ, йæхæдæг уыцы хъуыдыйæдтæй иуы уæнг чи вæййы, ахæм дзырд.
Одинаково совершенное владение несколькими языками.	Цалдæр æвзагыл æмхуызон хорз дзурын.
Наличие нескольких языков на данной территории.	Иу территорийыл цалдæр æвзаджы уæвынад.
Слова, имеющие несколько лексических значений.	Цалдæр лексикон нысаниуæджы кæмæн ис, ахæм дзырдтæ.
Форма числа, обозначающая неопределенное множество однородных предметов.	Бирæ æмхуызон предметты æбæлвырд нымæц æвдисæг формæ.
Предложение, состоящее из двух или нескольких простых предложений.	Дзырды миниуæг æндæр дзырдтимæ синтаксисон бастдзинæдтæ аразын.
Иноязычное слово, воспринимаемое как чуждое для родной речи.	Мадæлон æвзаджы æцæгæлон чи у, уыцы æнæхъуаджы æрбайсгæ дзырдтæ.
Звательный падеж, слово или словосочетание, называющее того, к кому обращается говорящий.	Бадзырды хауæн, дзурæг кæмæ дзуры, уый амонæг дзырд кæнæ дзырдбаст.
Как тебя зовут?	Дæ ном куыд хуыйны?
Меня зовут Алан.	Мæ ном хуыйны Алан.
Чей ты сын?	Кæй лæппу дæ?
Санаеа Ацамаза.	Санаты Ацæмæзы.
Где ты учишься?	Кæм ахуыр кæныс?
В пятьдесят седьмой школе города Владикавказ.	Дзæуджыхъæуы фæндзæм астæуккаг скъолайы.
В каком классе ты учишься?	Кæцы къласы ахуыр кæныс?
Я учусь в девятом классе.	Æз ахуыр кæнын фарæстæм къласы.
В какой класс ты ходишь?	Кæцы къласмæ цæуыс?
В девятый класс.	Фарæстæм къласмæ.
Чем ты занят?	Цæмæй кусыс?
Изучаю науку.	Наукон кусæгæй.
Где ты живешь?	Кæм цæрыс?
Во Владикавказе.	Дзæуджыхъæуы.
На какой улице ты живешь?	Кæцы уынгыл цæрыс?
Я живу на улице Гугкаева.	Æз цæрын Гугкайы-фырты уынгыл.
Сколько тебе лет?	Цал азы дыл цæуы?
Мне 15 лет.	Æхсæрдæс азы.
Кто не пришел сегодня в школу?	Чи не ‘рбацыд абон скъоламæ?
Кого спросил учитель?	Кæй бафарста ахуыргæнæг?
Что говорит дежурный?	Цавæр дзуапп радта радгæс?
Где лежал Хетаг когда болел?	Кæм хуыссыд Хетæг рынчынæй?
Кто из детей знает адрес Хетага?	Сывæллæттæй чи зыдта Хетæджы адрис?
Кто дал учителю телефонный номер Хетага?	Чи радта ахуыргæнæгæн Хетæджы телефоны номыр?
Куда позвонил учитель?	Кæдæм бадзырдта ахуыргæнæг телефонæй?
Когда дети пошли проведать больного?	Кæд ацыдысты сывæллæттæ рынчынфæрсæг?
Кому был приятен приход детей?	Кæмæн уыд æхсызгон сывæллæтты æрбацыд?
Скоро моя сестра отправится учиться в Москву.	Тагъд рæстæджы мæ хо Мæскуымæ цæудзæн ахуыр кæнынмæ.
Учитель объясняет детям новый урок.	Ахуыргæнæг ахуыргæнинæгтæн амоны ног урок.
Я очень хочу учить зверей.	Мæн тынг фæнды сырдтæ ахуыр кæнын.
Мой отец вчера начал учить нашего двухлетнего жеребца.	Мæ фыд знон нæ дыууазыккон байраг райдыдта ахуыр кæнын.
Лиса уже привыкла к курятнику нашего соседа.	Рувас нæ сыхæгты кæркдонмæ фæцахуыр.
Я учусь в девятом классе 42 школы города Владикавказ.	Æз ахуыр кæнын фарæстæм къласы Дзæуджыхъæуы цыппор дыккæгæм скъолайы.
Нашу школу построили в 1976 году.	Мах скъола арæзт æрцыди мин фарастсæдæ æстай æхсæзæм азы.
В нашей школе много учеников.	Не ‘скъолайы ис бирæ ахуыргæнинæгтæ.
На их учебу сильно влияют учителя.	Уыдоны ахуырыл тынг аудынц ахуыргæнджытæ.
В школе для каждого предмета есть свой кабинет.	Скъолайы алы предметæн дæр ис хицæн ахуырадон кълас.
Я очень люблю нашу школу.	Æз бирæ уарзын не ‘скъола.
В каком классе я учусь?	Кæцы къласы ахуыр кæнын æз?
В какой школе я учусь?	Кæцы скъолайы ахуыр кæнын æз?
Когда построили нашу школу?	Кæд арæзт æрцыди мах скъола?
На чью учебу влияют учителя?	Кæй ахуырыл аудынц ахуыргæнджытæ?
Что есть у каждого предмета школы?	Скъолайы цы ис алы предметæн дæр?
Мы умеем переводить.	Мах тæлмац кæнын зонæм.
Ты перевел с нами ты предложения?	Ды нæма ратæлмац кодтай уыцы хъуыдыйæдтæ?
Из данных слов составьте предложение.	Лæвæрд дзырдтæй саразут хъуыдыйæдтæ.
Прочитайте и расскажите своими словами данный текст.	Бакæсут æмæ хи ныхæстæй радзурут лæвæрд текст.
Перепишите упражнение в тетрадь.	Фæлтæрæн рафыссут уæ тетрæдтæм.
Я учусь в университете.	Æз университеты ахуыр кæнын.
Я каждый день рано встаю.	Алы райсом дæр æз раджы фестын.
У нас возле дома есть автобусная остановка.	Нæ хæдзары цур ис автобусы æрлæууæн.
Наш учебный день заканчивается в 3 часа.	Нæ ахуыры рæстæг фæвæййы æртæ сахатыл.
Добрый день, Алан!	Дæ бон хорз, Алан!
Как дела?	Куыд дæ?
Все хорошо, спасибо.	Бузныг, ницы мын у.
Куда путь держишь?	Дæ фæндаг кæ-дæм дарыс?
На работу иду. А ты куда?	Куыстмæ цæуын. Ды та кæдæм цæуыс?
Я тоже на работу иду.	Æз дæр куыстмæ цæуын.
Где ты сейчас работаешь?	Кæм кусыс ныртæккæ?
В школе работаю, учителем.	Скъолайы кусын, ахуыргæнæгæй.
В какой школе работаешь?	Кæцы скъолайы кусыс?
В 45 школе, в городе.	Горæты 45-æм скъолайы.
Так пойдем вместе, я на заводе «Бином» работаю.	Уæдæ цом иумæ, æз та завод «Бином»-ы кусын.
Давно там работаешь? 	Рагæй кусыс уым?
Да, уже лет 5.	О, ныр иу фондз азы.
Кем на заводе рабоатешь, Алан.	Заводы та цæмæй кусыс, Алан?
Уже год главным инженером работаю.	Ныр иу афæдз сæйраг инженерæй кусын.
Доброе утро!	Уæ бон хорз!
Здравствуй!	Байрай!
Добрый день!	Дæ райсом хорз!
Счастье вашему дому!	Фарн уæ хæдзары!
Будь здоров!	Æнæнизтæ кæн!
Две матери, две девочки и бабушка с дочкой своего ребенка, всего их трое.	Дыууæ мады, дыууæ чызджы æмæ нана йæ хъæбулы чызгимæ, афтæмæй сты æртæ.
Трое? Нет, шесть!	Æртæ? Нæ, æхсæз!
Нет, их трое.	Нæ, сты æртæ.
Нет, их шесть!	Нæ, æхсæз!
Вы узнаете сколько им лет?	Сымах ма уæдæ базонут, цалæй сты?
Кто проходит по 30 километра в день?	Бон æртын километры чи цæуы?
Сколько километров проедет автомобиль за час?	Автомобил сахатмæ цал километры тындзы?
Во сколько прилетит самолет ТУ-104?	Цас рæстæгмæ стæхид Мæймæ хæдтæхæг ТУ-104?
Сколько пролетает спутник Земли за час?	Сахатмæ цал километры тæхы Зæххы æмзилдухгæнæг?
Кто хорошо учится, тот все знает.	Хорз чи ахуыр кæны, уый алцыдæр зоны.
Много чего он мне наговорил.	Алцыппæт ныхæстæ мын фæккодта.
Спроси меня, и я тебе обо всем расскажу.	Мæн бафæрс, æмæ дын алцыппæтдæр радзурдзынæн.
 Почему ты меня одного в тишине не можешь оставить?	Иууыл мæ æнцад цæуылнæ ныууадзыс?
Много чего я ему рассказал, но он все равно меня не послушал.	Бирæ йын фæдзырдтон, фæлæ мæм уый уæддæр нæ байхъуыста.
Два года спустя Зарина все равно пошла в медицинскую академию.	Дыууæ азы фæстæ Зæринæ уæддæр бацыд медицинон академимæ.
Быстрее быстрейшего была машина.	Тагъддæрæй тагъддæр уади машинæ.
Человек может знать все.	Адæймаг алцы зонынмæ бæллы.
Пожилые люди говорят что все в руках Всевышнего, но если человек сам ничего не делает, то ему даже Всевышний не поможет.	Зæронд адæм афтæ фæзæгъынц, æмæ, дам, алцыдæр Хуыцауы къухы ис, фæлæ адæймаг йæхæдæг куы ницы архайа, уæд ын Хуыцау дæр ницы феххуыс уыдзæн.
Это безусловно правильно.	Уый, æнæмæнг, раст у.
Сколько человек знает, столько он и живет.	Адæймаг куыд фылдæр зоны, афтæ фылдæр цæры.
К чему стремится человек?	Цæмæ тырны адæймаг?
Человек стремится к знаниям.	Адæймаг зонындзинæдтæм тырны.
Без знаний человек был бы как птица или скотина.	Æнæ зонындзинæдтæй адæймаг сырдтæ æмæ фосы хуызæн уыдаид.
Знания просто так  к человеку не приходят.	Зонындзинæдтæ адæймагмæ сæхæдæг не ‘рцæуынц.
Чтобы много знать нужно много работать.	Бирæ зонынæн бирæ кусын хъæуы.
Много домов строит человек за всю жизнь.	Йæ цæрæнбонты адæймаг бирæ хæдзæрттæ саразы.
Знания собирались долгими эпохами.	Зонындзинæдтæ бирæ фæлтæртæ фембырд кодтой.
Во всякой работе нунжны знания.	Зонындзинæдтæ алы куысты дæр хъæуынц.
Без знаний человек не может жить.	Æнæ зонындзинæдтæй адæймаджы бон нал у цæрын.
Человек работает для того чтоб получить знания.	Адæймаг архайы уæддæр исты зонындзинæдтæ райсыныл.
Если у человека нет хоть каких-то знаний, то он и для общества ничто.	Адæймагмæ исты зонындзинад куы нæ уа, уæд æхсæнадæн дæр ницы пайда у.
Если бы не было знаний, то не было бы ни телевизоров, ни машин.	Зонындзинæдтæ куы нæ уыдаиккой, уæд нæ уыдаиккой телевизортæ дæр æмæ машинæтæ дæр.
Здравствуй, Бибо!	Байрай, Бибо!
Здравствуй, Кола!	Хорзæй байрай, Къола!
Куда ты пропал, не видно тебя нигде?	Кæм фесæфтæ, куы никуыцæйуал зыныс?
 Не тут я был, Кола, недели три.	Ам нæ уыдтæн, Къола, иу æртæ къуырийы.
И не работал?	Æмæ кусгæ нæ кодтай?
Нет, я в отпуске был.	Нæ, æнцойуагъды уыдтæн.
И понравилось тебе?	Æмæ дзы дæ зæрдæмæ фæцыди?
Да, было очень хорошо, мне понравилось.	О, тынг хорз дзы уыди, мæ зæрдæмæ дзы фæцыди.
Приятно слышать, Бибо.	Уæдæ уый æхсызгон хабар у, Бибо.
Спасибо, Кола. А сам ты нигде не был?	Бузныг, Къола. Æмæ дæхæдæг та никуы уыдтæ?
Нет, я работал. У меня отпуск будет зимой.	Нæ, кусгæ кæнын. Мæнæн ме ‘нцойуагъд зымæ-джы уыдзæн.
Зима тоже хорошее время чтоб отдохнуть. Поедешь куда-нибудь?	Зымæг дæр хорз рæстæг у фæллад суадзынæн. Æмæ искуыдæм цæудзынæ?
Да, я к нам в Цей поеду.	О, æз та нæхи Цъæймæ цæудзынæн.
О, это хорошее место чтоб провести там зимний отпуск.	О, уый хорз бынат у зымæджы фæллад уадзынæн.
Знаю, каждый год туда езжу.	Зонын æй, алы аз дæр уырдæм фæцæуын.
Я думаю в следующем году тоже там проведу отпуск.	Æз дæр, æвæццæгæн, иннæ аз уырдæм ацæудзынæн.
 Ладно, Бибо, будь здоров!	Цæй, Бибо, дзæбæх уал у ныр та!
Ладно, Кола, тебе того же!	Цæй, Къола, дæ салам бирæ!
Где ты бываешь?	Кæм вæййыс?
Здесь не бываю.	Ам нæ вæййын.
Я отдыхал на берегу моря.	Мæ фæллад денджызы был уагътон.
Мне там понравилось.	Мæ зæрдæмæ дзы фæцыди.
Работаю.	Кусгæ кæнын.
Где ты отдыхал?	Дæ фæллад кæм уагътай?
 Каждый год там бываешь?	Уырдæм фæцæуыс алы аз дæр?
А ты куда поедешь в следующем году?	Ды та кæдæм цæудзынæ иннæ аз?
Как говорят осетины.	Ирон адæммæ куыд фæзæгъынц?
Как живет Батырбег со своим соседом?	Батырбег куыд цæры йæ сыхагимæ?
Как всегда говорит Батырбег?	Батырбег æппынæдзух куыд фæзæгъы?
 Заходи, Батырбег, посиди с нами!	Мидæмæ, Батырбег, абад немæ!
Как говорят осетинам?	Куыд фæзæгъынц ирон адæммæ?
Осетинам говорят так.	Ирон адæммæ афтæ фæзæгъынц.
Во всем мире нет человека без соседа.	Дунейыл æнæ сыхаг адæймаг нæй.
