Как тебя зовут?	Дæ ном куыд хуыйны?
Мой отец вчера начал учить нашего двухлетнего жеребца.	Мæ фыд знон нæ дыууазыккон байраг райдыдта ахуыр кæнын.
Лиса уже привыкла к курятнику нашего соседа.	Рувас нæ сыхæгты кæркдонмæ фæцахуыр.
Я учусь в девятом классе 42 школы города Владикавказ.	Æз ахуыр кæнын фарæстæм къласы Дзæуджыхъæуы цыппор дыккæгæм скъолайы.
Нашу школу построили в 1976 году.	Мах скъола арæзт æрцыди мин фарастсæдæ æстай æхсæзæм азы.
В нашей школе много учеников.	Не 'скъолайы ис бирæ ахуыргæнинæгтæ.
На их учебу сильно влияют учителя.	Уыдоны ахуырыл тынг аудынц ахуыргæнджытæ.
В школе для каждого предмета есть свой кабинет.	Скъолайы алы предметæн дæр ис хицæн ахуырадон кълас.
Я очень люблю нашу школу.	Æз бирæ уарзын не 'скъола.
В каком классе я учусь?	Кæцы къласы ахуыр кæнын æз?
В какой школе я учусь?	Кæцы скъолайы ахуыр кæнын æз?
Когда построили нашу школу?	Кæд арæзт æрцыди мах скъола?
На чью учебу влияют учителя?	Кæй ахуырыл аудынц ахуыргæнджытæ?
Что есть у каждого предмета школы?	Скъолайы цы ис алы предметæн дæр?
Мы умеем переводить.	Мах тæлмац кæнын зонæм.
Ты перевел с нами ты предложения?	Ды нæма ратæлмац кодтай уыцы хъуыдыйæдтæ?
Из данных слов составьте предложение.	Лæвæрд дзырдтæй саразут хъуыдыйæдтæ.
Прочитайте и расскажите своими словами данный текст.	Бакæсут æмæ хи ныхæстæй радзурут лæвæрд текст.
Перепишите упражнение в тетрадь.	Фæлтæрæн рафыссут уæ тетрæдтæм.
Я учусь в университете.	Æз университеты ахуыр кæнын.
Я каждый день рано встаю.	Алы райсом дæр æз раджы фестын.
У нас возле дома есть автобусная остановка.	Нæ хæдзары цур ис автобусы æрлæууæн.
Наш учебный день заканчивается в 3 часа.	Нæ ахуыры рæстæг фæвæййы æртæ сахатыл.
Добрый день, Алан!	Дæ бон хорз, Алан!
Как дела?	Куыд дæ?
Все хорошо, спасибо.	Бузныг, ницы мын у.
Куда путь держишь?	Дæ фæндаг кæ-дæм дарыс?
На работу иду. А ты куда?	Куыстмæ цæуын. Ды та кæдæм цæуыс?
Я тоже на работу иду.	Æз дæр куыстмæ цæуын.
Где ты сейчас работаешь?	Кæм кусыс ныртæккæ?
В школе работаю, учителем.	Скъолайы кусын, ахуыргæнæгæй.
В какой школе работаешь?	Кæцы скъолайы кусыс?
В 45 школе, в городе.	Горæты 45-æм скъолайы.
Так пойдем вместе, я на заводе "Бином" работаю.	Уæдæ цом иумæ, æз та завод "Бином"-ы кусын.
Давно там работаешь? 	Рагæй кусыс уым?
Да, уже лет 5.	О, ныр иу фондз азы.
Кем на заводе рабоатешь, Алан.	Заводы та цæмæй кусыс, Алан?
Уже год главным инженером работаю.	Ныр иу афæдз сæйраг инженерæй кусын.
Доброе утро!	Уæ бон хорз!
Здравствуй!	Байрай!
Добрый день!	Дæ райсом хорз!
Счастье вашему дому!	Фарн уæ хæдзары!
Будь здоров!	Æнæнизтæ кæн!
Две матери, две девочки и бабушка с дочкой своего ребенка, всего их трое.	Дыууæ мады, дыууæ чызджы æмæ нана йæ хъæбулы чызгимæ, афтæмæй сты æртæ.
Трое? Нет, шесть!	Æртæ? Нæ, æхсæз!
Нет, их трое.	Нæ, сты æртæ.
Нет, их шесть!	Нæ, æхсæз!
Вы узнаете сколько им лет?	Сымах ма уæдæ базонут, цалæй сты?
Кто проходит по 30 километра в день?	Бон æртын километры чи цæуы?
Сколько километров проедет автомобиль за час?	Автомобил сахатмæ цал километры тындзы?
Во сколько прилетит самолет ТУ-104?	Цас рæстæгмæ стæхид Мæймæ хæдтæхæг ТУ-104?
Сколько пролетает спутник Земли за час?	Сахатмæ цал километры тæхы Зæххы æмзилдухгæнæг?
Кто хорошо учится, тот все знает.	Хорз чи ахуыр кæны, уый алцыдæр зоны.
Много чего он мне наговорил.	Алцыппæт ныхæстæ мын фæккодта.
Спроси меня, и я тебе обо всем расскажу.	Мæн бафæрс, æмæ дын алцыппæтдæр радзурдзынæн.
 Почему ты меня одного в тишине не можешь оставить?	Иууыл мæ æнцад цæуылнæ ныууадзыс?
Много чего я ему рассказал, но он все равно меня не послушал.	Бирæ йын фæдзырдтон, фæлæ мæм уый уæддæр нæ байхъуыста.
Два года спустя Зарина все равно пошла в медицинскую академию.	Дыууæ азы фæстæ Зæринæ уæддæр бацыд медицинон академимæ.
Быстрее быстрейшего была машина.	Тагъддæрæй тагъддæр уади машинæ.
Человек может знать все.	Адæймаг алцы зонынмæ бæллы.
Пожилые люди говорят что все в руках Всевышнего, но если человек сам ничего не делает, то ему даже Всевышний не поможет.	Зæронд адæм афтæ фæзæгъынц, æмæ, дам, алцыдæр Хуыцауы къухы ис, фæлæ адæймаг йæхæдæг куы ницы архайа, уæд ын Хуыцау дæр ницы феххуыс уыдзæн.
Это безусловно правильно.	Уый, æнæмæнг, раст у.
Сколько человек знает, столько он и живет.	Адæймаг куыд фылдæр зоны, афтæ фылдæр цæры.
К чему стремится человек?	Цæмæ тырны адæймаг?
Человек стремится к знаниям.	Адæймаг зонындзинæдтæм тырны.
Без знаний человек был бы как птица или скотина.	Æнæ зонындзинæдтæй адæймаг сырдтæ æмæ фосы хуызæн уыдаид.
Знания просто так  к человеку не приходят.	Зонындзинæдтæ адæймагмæ сæхæдæг не 'рцæуынц.
Чтобы много знать нужно много работать.	Бирæ зонынæн бирæ кусын хъæуы.
Много домов строит человек за всю жизнь.	Йæ цæрæнбонты адæймаг бирæ хæдзæрттæ саразы.
Знания собирались долгими эпохами.	Зонындзинæдтæ бирæ фæлтæртæ фембырд кодтой.
Во всякой работе нунжны знания.	Зонындзинæдтæ алы куысты дæр хъæуынц.
Без знаний человек не может жить.	Æнæ зонындзинæдтæй адæймаджы бон нал у цæрын.
Человек работает для того чтоб получить знания.	Адæймаг архайы уæддæр исты зонындзинæдтæ райсыныл.
Если у человека нет хоть каких-то знаний, то он и для общества ничто.	Адæймагмæ исты зонындзинад куы нæ уа, уæд æхсæнадæн дæр ницы пайда у.
Если бы не было знаний, то не было бы ни телевизоров, ни машин.	Зонындзинæдтæ куы нæ уыдаиккой, уæд нæ уыдаиккой телевизортæ дæр æмæ машинæтæ дæр.
Здравствуй, Бибо!	Байрай, Бибо!
Здравствуй, Кола!	Хорзæй байрай, Къола!
Куда ты пропал, не видно тебя нигде?	Кæм фесæфтæ, куы никуыцæйуал зыныс?
Не тут я был, Кола, недели три.	Ам нæ уыдтæн, Къола, иу æртæ къуырийы.
И не работал?	Æмæ кусгæ нæ кодтай?
Нет, я в отпуске был.	Нæ, æнцойуагъды уыдтæн.
И понравилось тебе?	Æмæ дзы дæ зæрдæмæ фæцыди?
Да, было очень хорошо, мне понравилось.	О, тынг хорз дзы уыди, мæ зæрдæмæ дзы фæцыди.
Приятно слышать, Бибо.	Уæдæ уый æхсызгон хабар у, Бибо.
Спасибо, Кола. А сам ты нигде не был?	Бузныг, Къола. Æмæ дæхæдæг та никуы уыдтæ?
Нет, я работал. У меня отпуск будет зимой.	Нæ, кусгæ кæнын. Мæнæн ме 'нцойуагъд зымæ-джы уыдзæн.
Зима тоже хорошее время чтоб отдохнуть. Поедешь куда-нибудь?	Зымæг дæр хорз рæстæг у фæллад суадзынæн. Æмæ искуыдæм цæудзынæ?
Да, я к нам в Цей поеду.	О, æз та нæхи Цъæймæ цæудзынæн.
О, это хорошее место чтоб провести там зимний отпуск.	О, уый хорз бынат у зымæджы фæллад уадзынæн.
Знаю, каждый год туда езжу.	Зонын æй, алы аз дæр уырдæм фæцæуын.
Я думаю в следующем году тоже там проведу отпуск.	Æз дæр, æвæццæгæн, иннæ аз уырдæм ацæудзынæн.
Ладно, Бибо, будь здоров!	Цæй, Бибо, дзæбæх уал у ныр та!
Ладно, Кола, тебе того же!	Цæй, Къола, дæ салам бирæ!
Где ты бываешь?	Кæм вæййыс?
Здесь не бываю.	Ам нæ вæййын.
Я отдыхал на берегу моря.	Мæ фæллад денджызы был уагътон.
Мне там понравилось.	Мæ зæрдæмæ дзы фæцыди.
Работаю.	Кусгæ кæнын.
Где ты отдыхал?	Дæ фæллад кæм уагътай?
Каждый год там бываешь?	Уырдæм фæцæуыс алы аз дæр?
А ты куда поедешь в следующем году?	Ды та кæдæм цæудзынæ иннæ аз?
Как говорят осетины.	Ирон адæммæ куыд фæзæгъынц?
Как живет Батырбег со своим соседом?	Батырбег куыд цæры йæ сыхагимæ?
Как всегда говорит Батырбег?	Батырбег æппынæдзух куыд фæзæгъы?
Заходи, Батырбег, посиди с нами!	Мидæмæ, Батырбег, абад немæ!
Как говорят осетинам?	Куыд фæзæгъынц ирон адæммæ?
Осетинам говорят так.	Ирон адæммæ афтæ фæзæгъынц.
Во всем мире нет человека без соседа.	Дунейыл æнæ сыхаг адæймаг нæй.
Человек встречает соседей раньше рассвета.	Хурыскастæй лæг йæ сыхæгтыл тагъддæр сæмбæлы.
Батырбег говорит так...  	Батырбег афтæ фæзæгъы...
Батырбег зашел внутрь...	Батырбег бахызт мидæмæ...
Кто посидит, тому счастье...	Чи абада, уымæн хæлар...
Завтра надо идти на работу.	Райсом мæ куыстмæ цæуын хъæуы.
Что ты сегодня делал, что случилось с тобой?	Абон цы кодтай, цы дыл æрцыди?
Мои друзья идут на работу, и мне надо их догнать.	Ме 'мбæлттæ куыстмæ фæцæуынц, æмæ мæ уыдон баййафын хъæуы.
Вечером когда работу закончишь, зайдешь к нам.	Изæрæй куыстæй куы суæгъд уай, уæд махыл рацæудзынæ.
После завтра мне надо пойти в лес.	Иннæ бон мæ хъæумæ ныууайын хъæуы.
С вечера до утра без перерыва шел снег.	Æхсæвæй бонмæ æнæрæнцайгæйæ мит фæуарыд.
Тебе идут твои туфли.	Дæ туфлитæ дыл хорз фидауынц.
Кто в этом году идет в школу?	Ацы аз скъоламæ чи цæудзæн?
В этом году в школу пойдет Ацамаз.	Ацы аз скъоламæ Ацæмæз цæудзæн.
Что родители купили Ацамазу?	Ныййарджытæ цы балхæдтой Ацæмæзæн?
Родители купили Ацамазу портфель.	Ацæмæзæн ныййарджытæ балхæдтой пъартфел.
Насколько я понял, тебе сегодня на учебу не нужно?	Æз дæ куыд бамбæрстон, афтæмæй ды ахуырмæ цæуинаг нæ дæ?
Показывайте мне как вы сделали домашнюю работу.	Йæ хæдзармæ куыст чи куыд сæххæст кодта, уый ма мын фенын кæнут.
Как сильно ты запачкал рубашку!	Цæй тынг чъизи ныккодтай дæ хæдон!
Ты бы знал как мне был приятен твой взгляд!	Дæ фенд мын куыд æхсызгон уыди, уый куы зонис!
Как закончатся экзамены, так сразу поеду в горы.	Экзаментæ куыддæр фæуой, афтæ хохмæ цæудзынæн.
Уметь бы петь как нарт.	Рагон нæртон лæгау зарын куы зонин.
Где я работаю? - я работаю на заводе "Электроцинк".	Кæм кусын æз? - æз кусын "Электроцинчы" заводы.
Сколько лет нашему заводу?	Цал азы цæуы нæ заводыл?
Откуда нашему заводу поставляют сырье?	Нæ заводмæ хомаг кæцæй ласынц?
Сколько людей в моей бригаде работает?	Мæ бригадæйы цал адæймаджы кусы?
Кто-нибудь из них опаздывает на работу?	Уыдонæй куыстмæ исчи байрæджы кæны?
Где мое рабочее место?	Мæ кусæн бынат кæцыран у?
Мое рабочее место бывает чистым?	Мæ кусæн бынат сыгъдæг вæййы?
Семья Туаева Володи живет во Владикавказе.	Туаты Валодяйы бинонтæ цæрынц Дзæуджы-хъæуы.
Мои предки бежали с горы Даргавса.	Мæ фыдæлтæ хохы Дæргъæвсæй ралидзгæ сты.
Мой отец родился в Санибе, а мама в Гизели.	Мæ фыд райгуырд Санибайы хъæуы, мæ мад та - Джызæлы.
Мои родители переехали в город лет 15 назад.	Мæ ныййарджытæ горæтмæ æрбалыгъдысты иу фынддæс азы размæ.
Изатбег давно уже не живет с родителями.	Изæтбег рагæй нал цæры йæ ныййарджытимæ.
Года два назад Цомаевы купили трехкомнатную квартиру в девятиэтажке.	Иу дыууæ азы размæ Цомайты бинонтæ райстой ног æртæуатон фатер фарастуæладзыгон хæдзары.
Дрис тоже должен купить квартиру в этом году.	Дрис дæр ацы аз хъуамæ райса ног фатер.
Какие города есть в Осетии?	Цавæр горæттæ ис Ирыстоны?
Столицей чего является Владикавказ?	Дзæуджыхъæу кæй сæйраг горæт у?
Что есть во Владикавказе?	Дзæуджыхъæуы цытæ ис?
Как добираются до работы жители Владикавказа?	Цæуыл фæцæуынц горæтæгтæ сæ куыстмæ?
Откуда пришли Осетины?	Кæцæй ралыгъдысты ирæттæ?
Откуда пришли жители города?	Горæты цæрджытæ кæцæй æрбалыгъдысты?
Куда они пришли с леса?	Быдыры хъæутæй кæдæм æрбалыгъдысты?
Для кого стал Владикавказ общим домом?	Дзæуджыхъæу иумæйаг хæдзар кæмæн сси?
Что замыслил Всевышний?	Хуыцау цы сфæнд кодта?
Какими были уадмеры?	Цавæр адæм уыдысты уадмеритæ?
Почему уадмеры не строили дома?	Уадмеритæ цæй тыххæй нæ арæзтой хæдзæрттæ?
Почему потерялись великаны?	Уæйгуыты чи фесæфта?
Уважаемый	Дæ хорзæхæй
Как твоя фамилия?	Дæ мыггаг кæмæй у?
Разрешите представить!	Базонгæ ут!
До свидания!	Хæрзбон!
Всего хорошего!	Дзæбæх ут!
Передайте привет!	Саламтæ раттут!
Благодарю вас за приглашение!	Дæ салам бирæ!
Не за что!	Ницы кæны!
Я познакомился с ним.	Æз базонгæ дæн йемæ.
Я знаю его	Æз æй зонын.
Я хочу с вами познакомиться.	Уемæ мæ фæнды базонгæ уын.
Сколько вам лет?	Цал азы дыл цæуы?
Приходи в десять часов.	Фараст сахатыл æрбацу.
Какая сегодня погода?	Боныхъæд абон цавæр у?
Сегодня будет дождь?	Абон уардзæн?
Какое сегодня число?	Абон кæцы бон у?
Какой сегодня день?	Цы бон у абон?
Вы говорите по-осетински?	Иронау дзурут?
Вы кого-то ищете?	Искæй агурут?
Девушка	Чызгай
Друг	Мæ лымæн
Брат	Ме 'фсымæр
Дорогой	Зынаргъ
Честь	Кад
Горе	Сар
Бег	Уад
Года	Аз
Когда	Кæд
Голова	Сæр
Тогда	Уæд
Я	Æз
Мальчик	Лæппу
Завтрак	Аходæн
Дорога	Фæндаг
Кот	Гæды
Кошка	Гæды
Мужчина	Лæг
Жадный	Кæрæф
Часы	Сахатмæ
Знать	Зонын
Стол	Стъол
Животное	Фос
Скот	Фос
Смотреть	Кæсын
Читать	Кæсын
Ум	Зонд
Знание	Зонд
Ты	Ды
Он	Уый
Она	Уый
Оно	Уый
Мы	Мах
Вы	Сымах
Они	Уыдон
Делать	Кæнын
Говорить	Дзурын
Работать	Кусын
Жить	Цæрын
Кушать	Хæрын
Чего ты смеёшься?	Цæуыл худыс?
Этот нож очень острый.	Ацы кард тынг цыргъ у.
У кошки девять жизней.	Гæдыйæн фараст царды ис.
Сегодня облачно.	Абон у асæст.
Он был вождём своего племени 35 лет.	Уый йæ знæмы раздзог уыдис 35 азы дæргъы.
Мне кажется, что она заболела.	Мæнмæ афтæ кæсы, æмæ фæрынчын и.
Он прекрасно говорит по-русски.	Уырыссагау иттæг хорз дзуры.
Завтра будет идти дождь?	Райсом уардзæн?
Где ближайшая аптека?	Хæстæгдæр афтек кæм ис?
Чья это книга?	Кæй чиныг у?
Её глаза смеются.	Йæ цæстытæ худынц.
Наконец пятница.	Æгайтма майрæмбон у.
Я электрик.	Æз дæн электрик.
Лиса и медведь жили вместе.	Рувас æмæ арс цардысты иумæ.
Отнесите его обратно.	Фæстæмæ йæ ахæссут.
Отнесите её обратно.	Фæстæмæ йæ ахæссут.
У каждой книги своя судьба.	Алы чиныгæн ис йæхи хъысмæт.
Когда начнётся состязание?	Ерыс кæд райдайдзæнис?
Мне нравится твоя машина.	Мæ зæрдæмæ цæуы дæ хæдтулгæ.
Слишком много болтаешь.	Æгæр бирæ дзæнгæда цæгъдыс.
Твои слова больно ранят.	Дæ ныхæстæ кардау цæвынц.
Когда он боролся с тобой, его сердце разрывалось пополам.	Демæ тох куы кодта, уæд йæ зæрдæ тъæппытæ хаудта.
Он испытывал боль и сострадание.	Уый æнкъардта рис æмæ тæригъæд.
Теперь я чувствую то же самое.	Ныр æз дæр уый æнкъарын.
Я рад, что всё кончилось именно так.	Æхсызгон мын у, хъуыддаг афтæ кæй фæцис.
Как бы мы ни противились этому — это факт.	Уый ныхмæ цасфæнды дæр лæууæм, уæддæр уый факт у.
У меня больше не болит голова.	Мæ сæр нал риссы.
Для всех народов были созданы школы, письменность, к ним пришли свет и образование.	Æппæт адæмтæн арæзт æрцыди скъолатæ, фыссынад, æрцыд сæм рухс æмæ ахуырад.
Школа работала и в военные годы, учителя вовремя получали зарплату.	Скъола куыста хæсты азты дæр, ахуыргæнджытæ афоныл истой сæ мызд.
Это странно.	Уый æнахуыр цыдæр у.
Я женщина.	Сылгоймаг дæн.
Я забыл его имя.	Йæ ном мæ ферох и.
Я забыл её имя.	Йæ ном мæ ферох и.
Я впервые был в Нью-Йорке.	Уыдтæн Нью-Йорчы фыццаг хатт.
У меня нет денег, но есть мечты.	Æхца мæм нæй, фæлæ мæм ис бæллицтæ.
Если хочешь хорошо изучить язык, изучи его сам.	Кæд дæ фæнды æвзаг хорз базонын, уæд дæхæдæг æй ахуыр кæн.
Слушай!	Байхъус!
Я объяснил ему это.	Уый йын бамбарын кодтон.
Мать несколько раз перечитала письмо сына.	Мад йæ фырты фыстæг цалдæр хатты фæкасти.
Всё получилось наоборот.	Алцыдæр зыгъуыммæ рауади.
Думаю, нам надо попробовать ещё раз.	Æнхъæлдæн, æмæ ногæй афæлварын нæ хъæуы.
Я вызвала полицию, как только увидела на полу его труп.	Йæ мард пъолыл куы федтон, уайтагъд пъæлицæмæ фæдзырдтон.
Мой отец поехал в Китай.	Мæ фыд ацыдис Китаймæ.
Куда он шёл?	Кæдæм цыдис?
Я не согласна.	Разы нæ дæн.
Я, как и вы, не спала в эти тяжёлые дни.	Æз дæр сымахау нæ фынæй кодтон уыцы уæззау бонты.
Я, как и вы, не спал в эти тяжёлые дни.	Æз дæр сымахау нæ фынæй кодтон уыцы уæззау бонты.
Кто-то позвонил.	Чидæр æрбадзырдта.
Сядьте, пожалуйста.	Сбад, дæ хорзæхæй.
Такого ты не видел даже во сне.	Уый ды дæ фыны дæр нæ федтай.
Такого ты не видела даже во сне.	Уый ды дæ фыны дæр нæ федтай.
Их было слишком много.	Æгæр бирæ уыдысты.
Их слишком много.	Æгæр бирæ сты.
Хорошо.	Хорз.
Хороший вопрос.	Хорз фарст.
Хорошая идея!	Хорз идейæ!
Очень хорошо.	Тынг хорз.
Хорошо. Прости.	Хорз. Хатыр.
Хорошо дома.	Нæхимæ хорз у.
Хороший мальчик.	Хорз лæппу.
Дорога хорошая?	Фæндаг хорз у?
Всё хорошо.	Алцыппæт у хорз.
Этот хороший.	Ай хорз у.
Еда хорошая.	Хæринаг хорз у.
Хорошее замечание.	Хорз фиппаинаг у.
Хорошее предложение.	Хорз хъуыдыйад у.
Жизнь хороша.	Цард у хорз.
Хочу хороший словарь.	Хорз дзырдуат мæ фæнды.
Эми — хорошая девочка.	Эми хорз чызг у.
Он хороший оратор.	Уый у хорз оратор.
Twitter недостаточно хорош.	Твиттер фаг хорз нæу.
Хорошо. Я согласен.	Хорз. Разы дæн.
Хорошо. А ты?	Хорз. Ды та?
Всё будет хорошо.	Алцыппæт уыдзæни хорз.
Я хороший таксист.	Дæн хорз таксист.
Очень хорошо, спасибо.	Тынг хорз, бузныг.
Том - хороший сосед.	Том хорз сыхаг у.
Он хороший врач.	Уый хорз дохтыр у.
Я хорошо вижу.	Уынын хорз.
Люди здесь хорошие.	Амы адæм хорз сты.
Это хорошая новость?	Хорз хабар у?
Руководство республики обсудило план принятия мер против кризиса.	Кризисы ныхмæ мадзæлттæ аразыны пъланыл ныхас кодта республикæйы разамынд.
Они восстали против врага.	Сыстадысты знаджы ныхмæ.
С праздником вас!	Бæрæгбоны хорзæх уæ уæд!
Она говорит по-русски.	Уый уырыссагау дзуры.
Я не согласен.	Разы нæ дæн.
Куда она шла?	Кæдæм цыдис?
Я из России.	Æз дæн Уæрæсейæ.
Это имя мне, к сожалению, незнакомо.	Ацы ном хъыгагæн нæ зонын.
Я работаю в Макдональдсе.	Ӕз кусын Макдонæльдсы.
Том хорош, но Мэри лучше.	Том хорз у, фæлæ Мэри хуыздæр.
Не ходите никуда один, ладно?	Никуыдæм ма ацу иунæгæй, хорз?
Вы можете мне его завернуть?	Уæ бон у мæнæн æй батухын?
Она проснулась на полу обнаженной.	Чызг пъолыл бæгънæгæй райхъал и.
Спеть вам песенку?	Азарон уын зарæг?
Что делать, не знаю.	Цы кæнон, нæ зонын.
Я совсем не понимаю его идеи.	Æз æппындæр не 'мбарын йæ идейæ.
Думаешь, у Тома хватит денег, чтобы это купить?	Куыд хъуыды кæныс, Томæн сфаг уызæн хса цæмæй ай балхæнын?
У Мэри всегда ухоженные ногти.	Мэрийæн алкæддæр йæ ныхтæ рæсугъд сты.
Я живу в Парме.	Æз цæрын Пармейы.
Я тоже был в Нью-Йорке.	Æз дæр уыдтæн Нью-Йоркы.
Я её не учу.	Æз æй нæ ахуыр кæнын.
Ты дурак!	Ды æдылы дæ!
Давненько я не виделся с Томом.	Томы рагæй нæ федтон.
"Вот моя книга". - "Это не твоя книга, это моя".	"Мæнæ мæ чиныг". -"Дæ чиныг нæу, мæн чиныг у".
Он мой дед?	Мæ дада у?
Вы знаете, когда зоопарк открывается?	Нæ зоныс сырдон кæд байгом уыдзæн?
Тому, похоже, не нравится играть в шахматы.	Том, мæнмæ гæсга, шахмадтæй хъазын нæ уарзы.
Ты можешь начать сегодня?	Дæ бон у абон райдайын?
Она говорит всё, что приходит в голову.	Уый дзуры алцыдæр йæ сæрмæ цы 'рцæуы уый.
Хочу ударить тебя в лицо.	Мæн фæнды дæ цæском ныццæвын.
Том намного старше меня.	Том мæнæй бирæ хистæрдæр у.
Я не могу сказать тебе, как это произошло.	Мæ бон нæу дæуæн зæгъын куыд рауайди уый.
Я подумал, что мы сможем остаться здесь на весь день.	Мæ хъуыдыты уыди, цæмæй на бон уыдзæн баззайын ам æнæхъæн бон.
Он отсутствует.	Уый ам нæй.
Мы хотим пойти прогуляться, но дождь льёт как из ведра.	Мах фæнды тезгъо канын, фæлæ хъæвда тынг уары.
Убери камеру.	Камерæ айс.
Мы вместе много сделали, но предстоит сделать ещё больше.	Иумæ бирæ скодтам, фæлæ бирæ фылдæр сканын хъæуы.
Не звоните сюда больше!	Мауал æрбадзур ардæм!
Том живёт здесь три года.	Том ам цæры æртæ азы.
Том не приходил?	Том не рцыди?
Расскажите нам всё, что знаете.	Радзурут нын алцыдæр цы зонут.
Мне сильно захотелось пить.	Æз тынг сфæнд кодтон дон баназын.
Хлопок — натуральная ткань.	Бæмбæг натурон хъуымац у.
Что бы ты сделал, если бы у тебя был миллион долларов?	Цы скодтаис милуан долларов дæм куы уыдаид уæд?
Наконец выход был найден.	Кæдæй-уæдæй рацыд уыди ссарын.
Она боялась собаки.	Уый кудзæй тæрскæ кода.
Он сказал мне, чтобы я попросил её.	Уый мын загъта цæмæй йæ æз бафæрсон.
Присмотрись.	Хуыздæр æм бакæс.
Даю тебе два дня на размышление.	Æз дын дæттын дыууæ боны ахъуыды кæнын.
Думаю, Том может тебе помочь.	Мæнмæ гæсгæ, Том дын баххуыс кæндзæн.
Когда хохол родился – еврей заплакал.	Хахойлаг куы райгуырди уæд дзуттаг бакуыдта.
Я поцеловал его в щёку.	Æз æй аба кодтон йæ русмæ.
Спасибо, что подождал меня.	Бузныг, цæмæй мæ æрбаталас кодтай.
Том поменял простыни на своей кровати.	Том баивдта прастина йæ сынтæгыл.
Не думал, что у тебя получится.	Нæ хъуыды кодтон цæмæй дын рауайдзæн.
Рассмотри факты.	Фактæ равзар.
С кем дрался Том?	Том хъæбысæй кæимæ хæцыди?
Она была моей первой любовью.	Уый уыди мæ фыццаг уарзондзинат.
Когда вы стали писать песни?	Кæд байдыдтай фыссын зарджытæ.
Я не хотел её будить.	Нæ мæ фæндыди йæ райхъал канын.
Том ест корм для кошек.	Том хæры гæдыты хæринаг.
Я не знаю, где именно нахожусь.	Ӕз нӕ зонын кӕм дӕн.
Как ты думаешь, что это?	Дӕумӕ гӕсгӕ цы у?
Покажи Тому журнал.	Томӕн журнал равдис.
Расскажи мне, что ты ел.	Радзур мын цы бахордтай уый.
Вы чьи?	Кæй стут?
Я любил их.	Ӕз цӕ уарзтон.
Мы подруги?	Мах ӕмбӕлдтӕ стӕм?
Я была расстроена.	Ӕз уыдтæн æнкъард.
Я никогда не прикасался к ней.	Ӕз ӕм никуы нӕ бавнӕлдтон.
Отель находится на горе.	Отель хохы цъуппыл ис.
Где ты раньше жил?	Раздæр цæргæ кæм кодтай?
Хочешь рыбы?	Кæсаг дæ хъæуы?
Он мне ещё понадобится.	Бахъæудзæн ма мын.
Комары меня любят.	Къогъотæ мæ уарзынц.
Из-за чего она погибла?	Цæй тыххæй амарди?
Отец ездит на работу на машине.	Папа фӕцӕуы куыстмӕ машинӕйыл.
Сегодня не так уж и жарко.	Абон ахӕм ӕнтӕф нӕу.
Обе его сестры красивы.	Йӕ дыууӕ хойы рӕсугъд сты.
Я хочу с тобой на пляж.	Мӕн фӕнды демӕ ацӕуын хинайӕнмӕ.
Том никогда не смеялся.	Том худгӕ никуы нӕ кодта.
Том играл на барабанах.	Том барабантыл хъазыди.
Вам нравится рок-н-ролл?	Рок-н-рол уарзут?
Я хочу MP3 плеер.	MP3 плеер мӕ хъӕуы.
