Помогите мне его отодвинуть.	Help me push it.
Том не просил об этом Мэри.	Tom hasn't asked Mary to do that.
Остров был совершенно пустынным.	The island was completely deserted.
Его дом очень далеко от станции.	His house is very far from the station.
Маша предпочитает кофе без кофеина.	Masha prefers coffee without caffeine.
Том велел мне вымыть руки.	Tom told me to wash my hands.
У Тома никогда не получится.	Tom will never make it.
Ты не мог бы вернуть мне мой ключ?	Could you please give me back my key?
Ему сегодня немного получше.	He is a shade better today.
Это то, что мне нравится.	It's what I like.
Том не может вспомнить адрес Мэри.	Tom can't remember Mary's address.
Мы уезжаем из Японии в следующем месяце.	We are leaving Japan next month.
Кто самый сильный ребёнок?	Who's the strongest kid?
Не говори ничего Тому.	Don't tell Tom anything.
Цветы завяли.	The flowers wilted.
Тебя это не удивило?	Didn't that surprise you?
Процесс уже пошёл.	The process has already begun.
Тому везет.	Tom is in luck.
Он вернул все деньги, которые брал взаймы.	He gave back all the money he had borrowed.
Том сказал мне, что ты с ним согласен.	Tom told me you agreed with him.
Том никогда этого не сделает.	Tom is never going to do that.
Давайте не будем об этом говорить.	Let's not talk about that.
Кому хочется сидеть взаперти в такой прекрасный день?	Who wants to be cooped up indoors on a nice day like this?
Том вышел искать Мэри.	Tom went out to look for Mary.
Я не знал, что Том умеет это делать.	I didn't know that Tom could do that.
Том достал карандаш и начал писать.	Tom took out a pencil and started writing.
Я не умираю.	I'm not dying.
Некоторые газеты исказили сообщение.	Some newspapers distorted the news.
Мы уже три года живём в Бостоне.	We've lived in Boston three years.
Том меня понимает.	Tom understands me.
Мэри выглядит потрясающе.	Mary looks stunning.
У меня машина больше, чем у Тома.	My car's bigger than Tom's.
Вот почему я нанял тебя.	That's why I hired you.
Том пошёл посмотреть, что происходит.	Tom went to see what was going on.
Я иногда вижу сны о моей матери.	I sometimes dream of my mother.
Я срезал с дерева ветку.	I cut a branch from the tree.
У меня есть ручка.	I have a pen.
Это твой натуральный цвет волос?	Is your hair color natural?
Мне нужно, чтобы вы подписали эти бумаги.	I need you to sign these papers.
А теперь оставьте меня.	Now leave me.
Полицейский вызвал подмогу.	The police officer called for backup.
Не думаю, что стану рассказывать об этом Тому.	I don't think I'll tell Tom about this.
Я хотел бы пойти с тобой, но не могу.	I'd like to go with you, but I can't.
У тебя есть аккаунт в Твиттере?	Do you have a Twitter account?
Через неделю Германия напала на Польшу.	A week later, Germany attacked Poland.
И у Тома, и у меня очень мало друзей.	Tom and I both have very few friends.
Случилось худшее.	The worst has happened.
Интересно, почему Том не захотел ехать с нами в Бостон.	I wonder why Tom didn't want to go to Boston with us.
Я думал, Том извинится перед Мэри, но он этого не сделал.	I thought Tom would apologize to Mary, but he didn't.
Я никому не доверял.	I didn't trust anybody.
Тому становится дурно.	Tom is getting woozy.
Том больше не может мне помочь.	Tom can't help me anymore.
Я знаю, что Том - хоккейный болельщик.	I know Tom is a hockey fan.
По пути домой я зашла в школу Тома.	I stopped by Tom's school on the way home.
Мы вернулись на свои места.	We returned to our seats.
Это было довольно плохо.	It was pretty bad.
Рад познакомиться, Том.	Pleased to meet you, Tom.
Мне нравится всякая музыка.	I like all kinds of music.
Что нам нужно сделать сегодня?	What should we do today?
У вас красивая семья.	You have a beautiful family.
Тебе нравится этот план?	Do you like the plan?
Я здоров.	I'm healthy.
Кто-то прислал нам подарок.	Somebody sent us a gift.
Ты что, не видишь?	Can't you see?
Я доехал на автобусе до самого Лондона.	I went by bus as far as London.
Одень шапку.	Put on your hat.
Почему он вам не нравится?	Why don't you like it?
У Вас футболка задом наперёд.	Your T-shirt's on backwards.
Том говорил громче, чем нужно.	Tom was talking louder than he needed to.
Мы не смогли довести это до конца.	We haven't been able to achieve that.
Ты мерзавец.	You're scum.
Я попозже это сделаю.	I'll do that later.
У меня болит грудь во время кашля.	My chest hurts when I cough.
Я хочу сам посмотреть.	I wanted to see for myself.
Телеграмма была уловкой, чтобы она вернулась домой.	The telegram was a trick to get her to come home.
Я ни разу не влюблялась.	I've never fallen in love.
Том знал, что Мэри не хочет уезжать.	Tom knew that Mary didn't want to leave.
Я не заслуживаю такого отношения.	I don't deserve to be treated this way.
Ты не должен делать поспешных выводов.	You must not jump to conclusions.
Том всегда пытается обвинить кого-то другого в своих ошибках.	Tom always tries to blame someone else for his failures.
Он надеется побывать в Париже.	He hopes to visit Paris.
Имей мужество.	Have courage.
Ты совершенно права.	You are quite right.
Сомневаюсь, что Том до сих пор женат.	I doubt Tom is still married.
Я играю на гитаре, но не пою.	I play the guitar, but I don't sing.
Я готова следовать за тобой.	I'm ready to follow you.
Ты это заказал?	Did you order this?
Том хорошо пел.	Tom sang well.
Я постараюсь запомнить это.	I'll try to keep that in mind.
Надеюсь, у тебя много времени.	I hope you have a lot of time.
Ты можешь порекомендовать мне хороший словарь?	Can you recommend a good dictionary to me?
Этот компьютер так тормозит!	This computer is so slow.
Что заставило тебя переменить мнение?	What made you change your mind?
Я очень рад за Тома.	I'm really happy for Tom.
Это невозможно или просто трудно?	Is it impossible or just hard?
Поставьте лестницу напротив стены.	Place the ladder against the wall.
Мы здесь, чтобы поговорить.	We're here to talk.
Кто ты такая, чтобы говорить мне, что делать?	Who are you to tell me what to do?
Я пока не готова это сделать.	I'm not ready to do that yet.
Что Том тебе шепнул?	What did Tom whisper to you?
Мужчины, как правило, выше женщин.	Generally, men are taller than women.
Ты слишком бурно реагируешь.	You're overreacting.
Держитесь подальше от окон.	Stay away from the windows.
Её видели в ресторане с любовником.	She was seen at a restaurant with her lover.
Ты очень находчивый.	You're very resourceful.
Это уже никого не удивляет.	It doesn't surprise anyone anymore.
Сколько у вас друзей?	How many friends do you have?
Я хочу, чтобы Тома арестовали.	I want Tom arrested.
Я, возможно, и несчастен, но руки на себя накладывать не собираюсь.	Maybe I'm unhappy, but I don't intend to kill myself.
Им нужна помощь.	They need help.
Том попробовал вино.	Tom tasted the wine.
Ты работал прошлой ночью?	Were you working last night?
Я хочу вернуться в Бостон.	I want to return to Boston.
Конечно, поеду.	Of course I'll go.
Кто ещё стал бы это делать?	Who else would've done it?
В соответствии с этим докладом, именно Том является причиной несчастного случая.	According to this report, Tom was the one who caused the accident.
Пожалуйста, не едьте так быстро.	Please don't drive so fast.
Ладно, пора ехать.	Well, it's time to go.
Поверить не могу, что вы действительно это сделали.	I can't believe you really did that.
Я рад, что ты смог помочь.	I'm glad that you were able to help.
Это был знак.	That was a sign.
Я люблю холодную погоду.	I like cold weather.
Никогда так больше не говорите!	Don't you ever say that again.
На небе облака.	There are clouds in the sky.
Какая дороже?	Which one is more expensive?
Он задул свечу.	He blew out the candle.
Бумага белая.	The paper is white.
Никто ничего не сделает.	Nobody will do anything.
Это не займет так много времени.	It won't take that long.
Я думаю, ты способен на всё.	I think you're capable of anything.
На меня подали в суд.	I've been sued.
Давай я тебе это объясню.	Let me explain it to you.
Не закрывай окна.	Don't close the windows.
Она играет на пианино и на гитаре.	She plays piano and guitar.
Ты умеешь готовить?	Can you cook?
Это Рождество.	It's Christmas.
Я знал, что вам это понравится.	I knew you'd enjoy that.
Том решил пойти в армию.	Tom decided to join the army.
Раньше она была лучше.	It used to be better.
Ты говоришь не переставая.	You never stop talking.
Вам очень часто приходится это делать?	Do you have to do this very often?
Как именно вы это делали?	How exactly did you do that?
Отойдите в сторону.	Step aside.
Я сделал это для Тома.	I made this for Tom.
Я вчера видела Тома здесь.	I saw Tom here yesterday.
Вы не старый.	You're not old.
Я считаю, что это всё, что нам нужно сделать.	I believe that that's all we need to do.
Я не думал, что то, что говорит Том, правда.	I didn't think that what Tom said was true.
Не дай им выиграть.	Don't let them win.
Том говорит, что Мэри лжёт.	Tom says Mary is lying.
Я не понимаю, чем Том тут занимается.	I don't understand what Tom is doing here.
Тому самому приходилось всё делать.	Tom had to do everything himself.
Победителями были Том и Мэри.	Tom and Mary were the winners.
Я был голоден.	I was hungry.
Том вышел из ванной в одном полотенце.	Tom came out of the bathroom with only a towel on.
Ты не помнишь, что Том сказал?	Don't you remember what Tom said?
Тома нужно подвезти до дома?	Does Tom need a lift home?
Почему Том такой замученный?	Why is Tom so exhausted?
Вам пока нельзя уходить.	You guys can't leave yet.
Не думаю, что мне придётся это делать.	I don't think that I'll have to do that.
Я позвоню в скорую.	I'll call an ambulance.
У него нет ни шанса против его противника.	He doesn't stand a chance against his opponent.
Она не вернула мне мои деньги.	She didn't give me back my money.
Как-то внезапно похолодало, да?	It has suddenly gotten cold, hasn't it?
Я хочу разбогатеть.	I want to become rich.
Отдайте мне мою ручку.	Give me back my pen.
Я знаю, что вы сделаете всё необходимое.	I know you'll do what's necessary.
Мы много чем ещё могли бы заняться.	There are many other things we could do.
Её мать - замечательная пианистка.	Her mother is a wonderful pianist.
Мне приходилось принимать сложные решения.	I had to make difficult decisions.
Не думаю, что нам следует об этом говорить.	I don't think we should be talking about this.
Идите помогите брату с уроками.	Go help your brother with his homework.
Я этого не говорю.	I'm not saying that.
Он увидел птицу на дереве.	He saw the bird in the tree.
Я терпеть не могу лгунов.	I can't stand liars.
Том с Мэри богаты.	Tom and Mary are wealthy.
Том ждал звонка от Мэри.	Tom waited for Mary to call.
Ты не выглядишь таким уж занятым.	You don't look that busy.
Эта книга повествует о жизни в Соединённом Королевстве.	This book deals with life in the United Kingdom.
Тома будет трудно убедить.	It'll be hard to convince Tom.
По-моему, это хорошая идея.	I think it's a good idea.
Это не опасно?	Isn't that dangerous?
Этот цветок красив, ведь так?	That flower is beautiful, isn't it?
Том говорит, что у него достаточно денег, чтобы купить дом.	Tom says he has enough money to buy a house.
Это чрезвычайно опасно.	That's extremely dangerous.
Я хочу, чтобы Том приехал в Австралию.	I want Tom to come to Australia.
Я почти никогда не жалуюсь.	I hardly ever complain.
Я был уволен на прошлой неделе.	I was fired last week.
Том хочет чего-то нового.	Tom wants something new.
Том сейчас чрезвычайно занят.	Tom is extremely busy now.
Это настоящее безумие.	This is really crazy.
Вот где вы ошибаетесь.	That is where you are wrong.
Эта рыба ещё живая?	Is this fish still alive?
Отец вышвырнул меня из дома.	My father kicked me out of the house.
Том был очень агрессивен.	Tom was very aggressive.
Я был у родителей.	I was at my parents'.
Она сказала ему, что уходит.	She told him that she was leaving.
За кофе плачу я.	The coffee is on me.
Ничего не меняйте.	Don't change anything.
Пожалуйста, приведи мне другой пример.	Please show me another example.
Том сказал, что настроен оптимистично.	Tom said he was optimistic.
Вы меня найдёте?	Will you find me?
Том привык к такого рода ситуациям.	Tom is used to this kind of situation.
Где Том ждёт?	Where's Tom waiting?
Не обращайте на Тома внимания.	Don't pay attention to Tom.
Почему вы на меня кричите?	Why are you yelling at me?
Я не сделал это в одиночку.	I didn't do that alone.
Розовый для девчонок.	Pink is for girls.
Спасибо, что пришли сегодня ночью.	Thanks for coming over tonight.
Вы обе взрослые.	You're both adults.
Идите поспите немного.	Go get some sleep.
Он нарушил закон.	He broke the law.
Я сильно впечатлён.	I'm highly impressed.
Теперь я понимаю, почему наша команда проиграла.	Now I can see why our team lost.
Это может занять какое-то время.	This may take some time.
Том немного зол на Мэри.	Tom is a little angry at Mary.
Это открытие стало сенсацией.	This discovery became a sensation.
Том не боится.	Tom isn't scared.
У тебя галстук завернулся.	Your tie is crooked.
Полиция не должна брать взятки.	Police shouldn't take bribes.
Дай мне поспать ещё десять минут.	Let me sleep for another ten minutes.
Это приказ.	That's an order.
Вчера мне починили велосипед.	I had my bicycle fixed yesterday.
Это будет не так весело, как ты думаешь.	It won't be as fun as you think.
Когда автобус приедет?	When will the bus be here?
Том не хочет, чтобы вы узнали правду.	Tom doesn't want you to find out the truth.
Прошло три года с тех пор, как моя младшая сестра вышла замуж.	It's been three years since my younger sister got married.
Это от меня.	This one's from me.
Как я тебя узнаю?	How will I recognize you?
Как давно ты ждёшь автобус?	How long have you been waiting for the bus?
Том чуть не плакал.	Tom almost cried.
Я пойду куда хотите.	I'll go anywhere you want.
Я дам его Тому.	I'll give it to Tom.
Я не очень хороший советчик.	I'm not very good at giving advice.
Мне не нравится такая музыка.	I don't like this kind of music.
Может быть, мне стоило сделать это самой.	Maybe I should've done that by myself.
Том вернётся после обеда.	Tom will be back after lunch.
Почему ты не пел с нами?	Why didn't you sing with us?
Почти все уже разошлись по домам.	Almost everybody has already gone home.
Завтра я поговорю с тобой.	I will speak with you tomorrow.
Я знал, что Том согласился это сделать.	I knew that Tom had agreed to do that.
Кто-то принёс её Тому.	Someone brought it to Tom.
Это их единственный шанс.	It's their only chance.
Том не такой, как Мэри.	Tom isn't like Mary.
Как ты попала ко мне в комнату?	How did you get in my room?
Он только и делает, что целыми днями жалуется.	He does nothing but complain all day long.
В понедельник, скорее всего, будет холодно.	Monday will likely be a cold day.
Мы поехали в Бостон, где остановились на неделю.	We went to Boston, where we stayed a week.
Тому не с кем говорить.	Tom has no one to talk to.
Мне нужно знать, что Том вчера делал.	I need to know what Tom did yesterday.
Меня назвали в честь бабушки.	I'm named after my grandmother.
Я хочу выйти из дома.	I want to leave the house.
До скольких открыт банк?	How late is the bank open?
Она бросила своих детей.	She left her children.
Я пришла сюда, чтобы спасти вас.	I came here to save you.
Том наклонился, чтобы что-то поднять.	Tom bent over to pick something up.
Никто никогда не слушает.	Nobody ever listens.
Том сказал, что Мэри, похоже, засыпает.	Tom said that it looked like Mary was getting drowsy.
Ты не очень хорошо информирован.	You're not very well informed.
Я был очень впечатлён его рассказом.	I was very impressed by his story.
По-моему, я Вас знаю.	I think that I know you.
Уберись на кухне.	Clean up the kitchen.
Том - белая ворона в своей семье.	Tom is the black sheep of his family.
Твой брат моложе тебя?	Is your brother younger than you?
Том первый вошёл в пещеру.	Tom was the first one to enter the cave.
Нам всем вас не хватало.	We all have missed you.
У тебя, случайно, нет пинцета, который я мог бы позаимствовать?	Do you have a pair of tweezers I could borrow?
Мне надо самой туда пойти.	I have to go there myself.
Я этого ещё не видел.	I haven't seen it yet.
Собаке необходима физическая активность.	Exercise is vital for a dog.
В гараже страшный беспорядок.	There's a horrible mess in the garage.
Никому не нравится этим заниматься.	No one likes to do that.
Я ездил в Европу перед войной.	I went to Europe before the war.
Вы собираетесь всё это съесть?	Do you intend to eat all that?
Том заставил Мэри ждать много времени.	Tom made Mary wait for a long time.
Том вряд ли придёт.	Tom isn't likely to come.
Может быть, что-то не так.	Maybe there's something wrong.
У тебя нет девушки?	Don't you have a girlfriend?
Дай мне пива.	Give me some beer.
Том всегда будет вас помнить.	Tom will always remember you.
По правде говоря, она моя девушка.	To tell the truth, she is my girlfriend.
Я сомневаюсь, что новое предложение будет принято.	I doubt the new proposal will be accepted.
Прошу прощения. Это была моя ошибка.	I apologize. It was my mistake.
Я не хотел эту работу.	I didn't want that job.
Ничего, если я приду не один?	Is it OK if I bring a guest?
Откуда мы знаем, что этот человек - тот, за кого он себя выдаёт?	How do we know that that man is who he says he is?
Том такой старый.	Tom's so old.
Спина болит.	My back hurts.
Том велел мне никому не говорить.	Tom told me not to tell anyone.
Я не хочу сахар.	I don't want sugar.
Они убили наших коров.	They killed our cows.
Ты купил хороший велосипед?	Did you buy a nice bicycle?
Боюсь, что я не могу это разрешить.	I'm afraid I can't allow that.
У меня нет велосипеда, не говоря уже о машине.	I don't have a bicycle, let alone a car.
Помощи от них было немного.	They weren't much help.
Не думаю, что смогу убедить Тома перестать это делать.	I don't think that I can convince Tom to stop doing that.
Они пошли в разные стороны.	They went in opposite directions.
Кто-нибудь записал?	Did anybody take notes?
Запомните это.	Memorize this.
Я знаю, где найти Тома.	I know where to find Tom.
У вас есть билеты на сегодня?	Do you have today's tickets?
Том не мог сосредоточиться.	Tom wasn't able to concentrate.
Я немного освоил французский.	I learned a little French.
Я не буду вдаваться в подробности, если вы не хотите.	I won't go into detail if you don't want me to.
Вас никто не возьмёт на работу.	Nobody's going to hire you.
Зачем ты мне это дал?	Why did you give this to me?
Я заставлю его починить эти часы.	I will have him repair this watch.
Очень немногие пассажиры выжили в аварии.	Very few passengers survived the accident.
Девочки победили.	The girls won.
Я узнал Тома сразу, как только увидел.	I recognized Tom the moment I saw him.
Том — брат Мэри.	Tom's Mary's brother.
Едва заметная невооружённому глазу заноза, попавшая Тому в палец, стала причиной очень болезненного заражения.	A splinter of wood, barely visible to the naked eye, caused a very painful infection in one of Tom's fingers.
Мне было неуютно.	I felt uncomfortable.
Том пытался контролировать свой гнев.	Tom was trying to control his anger.
Что-то мне подсказывает, что мне надо сказать нет.	Something tells me I should say no.
В мае у нас турнир по футболу.	We have a soccer tournament in May.
Как далеко до вашей школы?	How far away is your school?
Твои родители ещё живут в Бостоне?	Are your parents still living in Boston?
Проблема не наша.	The problem isn't ours.
Кажется, Том хочет с тобой поговорить.	It seems like Tom wants to talk to you.
Том обернул бёдра полотенцем.	Tom wrapped a towel around his waist.
Ты знал, что Том не говорит по-французски?	Did you know that Tom can't speak French?
Том наконец сказал Мэри правду.	Tom finally told Mary the truth.
Будем надеяться, что положение не ухудшится.	Let's hope the situation doesn't get any worse.
Я не была уверена, что это ты.	I wasn't sure it was you.
Том неправильно понял Мэри.	Tom misunderstood Mary.
Том крепко поцеловал Мэри.	Tom gave Mary a big kiss.
Наконец я закончил свою работу.	At last, I completed my work.
Я искал тебя.	I've been searching for you.
Он подробно описал происшествие полиции.	He described the accident in detail to the police.
Ты ведь поедешь с нами?	You'll go with us, won't you?
Ты не мог бы пойти со мной в магазин?	Could you go to the store for me?
Покрась забор.	Paint the fence.
Тома не было на той встрече.	Tom didn't attend that meeting.
Я не знал, почему Том опаздывает.	I didn't know why Tom was late.
Я знала, что это произойдет.	I knew that that would happen.
Ты не одна.	You're not alone.
Ты скоро опять там будешь.	You will be there again soon.
Она пришла к нам вчера.	She came to see us yesterday.
Осень - моё любимое время года.	Autumn is my favorite season.
Том уже не живёт в Австралии.	Tom no longer lives in Australia.
Наконец я нашёл ответ на ваш вопрос.	Finally, I found the answer to your question.
Ты сказал, что не хочешь этого.	You said you didn't want that.
Ждите здесь, пока я не вернусь.	Wait here until I return.
Скажи мне, пожалуйста, откуда это у тебя.	Please tell me where you got this.
Я не представляю себе жизнь без книг.	I can't imagine life without books.
Я сейчас не могу тебе сказать.	I can't tell you now.
Если это не сработает, звоните.	If that doesn't work, call me.
Том ушёл на работу раньше обычного.	Tom left for work earlier than usual.
Я видела тебя в парке с Томом.	I saw you in the park with Tom.
Почему ты так встревожен?	Why are you so uptight?
Я знал, что ты это спросишь.	I knew you were going to ask that.
Тебе надо сесть и отдохнуть.	You need to sit down and rest.
Том пошёл за продуктами.	Tom has gone out to buy food.
Ты только что назвал меня толстой?	Did you just call me fat?
Там разговаривают по-французски.	French is spoken there.
Том обманул меня.	Tom lied to me.
Педаль тормоза заедает.	The brake pedal sticks.
Мы с Томом не так много разговариваем.	Tom and I don't talk much.
Тебя интересует политика?	Are you interested in politics?
Вам придётся говорить с полицией.	You'll have to talk to the police.
У Тома было разбито сердце.	Tom was brokenhearted.
Я даже написал письмо Тому.	I even wrote a letter to Tom.
Мы тебя ждали.	We were waiting for you.
Неожиданный звук испугал её.	The sudden noise frightened her.
Мой папа любит теннис.	My dad likes tennis.
Все студенты имеют доступ к библиотеке.	All students have access to the library.
Я не знаю, как долго Том жил в Бостоне, но не меньше трёх лет.	I don't know how long Tom lived in Boston, but it was at least three years.
Он меня перехитрил.	He outsmarted me.
У меня бабочки в животе.	I have butterflies in my stomach.
Том не был членом нашего экипажа.	Tom wasn't a member of our crew.
Я вернусь полтретьего.	I'll return at half past two.
Сколько мы будем этим заниматься?	How long will we be doing this?
У меня нет никаких сожалений.	I don't have any regrets.
Мы не понимаем по-французски.	We can't understand French.
Том тебя не понимает.	Tom doesn't understand you.
Вы уже читали эту книгу?	Have you read this book yet?
Интересно, что скажет учитель.	I wonder what the teacher will say.
Том сказал, что ему всё равно.	Tom said that he didn't care.
Если я не поеду, то кто?	If I don't go, who will?
Каких насекомых ты ел?	What insects have you eaten?
Я знаю, что это тот, кого вы ищете.	I know that's who you're looking for.
Ты правда украла эту еду?	Did you really steal this food?
Тебе это всё нравится?	Do you like it all?
Мы вышли все, чтобы закончить работу до темноты.	We went all out to finish the work before dark.
Это того стоит.	It's worth it.
Вы, похоже, уже знакомы с Томом.	It looks like you know Tom already.
Том уже истратил все деньги, которые отец ему оставил.	Tom has already spent all the money that his father left him.
Сядь и расслабься ненадолго.	Sit down and take it easy for a while.
Не думаю, что Том нам поверил.	I don't think Tom believed us.
Мы не можем делать что хотим.	We can't do what we want.
До половины третьего ничего не случится.	Nothing will happen until 2:30.
Вам должно быть за себя стыдно.	You ought to be ashamed of yourself.
Я тренируюсь по два часа в день.	I exercise for two hours every day.
Вы знаете кого-нибудь, кто играет на гитаре?	Do you know anyone who plays the guitar?
По всей видимости, смерть Тома была самоубийством.	Apparently, Tom's death was a suicide.
Хочешь сесть?	Do you want to sit?
Том приехал на машине.	Tom arrived by car.
Ты думаешь, этого достаточно?	Do you think that's enough?
Вы к этому не готовы.	You aren't ready for this.
Том выпустил кота.	Tom let the cat out.
Я сказал Тому до свидания.	I said goodbye to Tom.
Тома не нужно было наказывать.	Tom didn't need to be punished.
Том жив и в порядке.	Tom is alive and well.
Мы не знаем, что Том сказал.	We don't know what Tom said.
Я не могу этого принять, Том.	I can't accept this, Tom.
Жёлтый — это мой любимый цвет.	Yellow is my favorite color.
Я уже сказал тебе, что я этого не делал.	I've already told you I didn't do that.
Это моё.	That's mine.
Я же пошутил.	I was just kidding.
Не стой как вкопанная! Скажи что-нибудь!	Don't just stand there, say something.
Я перестал смеяться, как только заметил, что Том плачет.	I stopped laughing as soon as I noticed that Tom was crying.
Я пить хочу. У тебя пиво есть?	I'm thirsty. Do you have any beer?
Я хочу съесть чего-нибудь сладкого.	I want something sweet to eat.
Том хотел, чтобы я соврал.	Tom wanted me to lie.
Я всё никак не пойму, чего ты от меня хочешь.	I still don't understand what you want from me.
Том попросил у меня разрешения это сделать.	Tom asked me for permission to do that.
Я не дуюсь.	I'm not sulking.
Что, если Тома нет дома?	What if Tom isn't at home?
Дело твоё.	Suit yourself.
Том пойдёт со мной.	Tom will go with me.
Тому сказали не разговаривать с Мэри.	Tom has been told not to talk to Mary.
Им нужен только предлог, чтобы тебя уволить.	They just want an excuse to fire you.
Я ничего этого никогда не говорил.	I never said any of that.
То есть, ты согласен?	Does that mean you agree?
Мы сделали для Тома всё, что могли.	We've done everything we can for Tom.
Тому сообщили?	Has Tom been informed?
Как я могу тебя увидеть?	How can I see you?
Мои родители оба музыканты.	Both of my parents are musicians.
Я тоже не хочу этого делать.	I don't want to do that either.
Я уже сказал вам, что не знаю, что делать.	I've already told you that I don't know what to do.
Я знаю, где ты родился.	I know where you were born.
Спасибо за предложение.	Thank you for the offer.
Том не пойдёт домой.	Tom won't go home.
Пожалуйста, расскажи мне сказку.	Please tell me a story.
Нам надо выяснить, что это.	We've got to find out what it is.
Том не очень давно живёт в Бостоне.	Tom hasn't lived in Boston for very long.
Том не отвечает по мобильному.	Tom isn't answering his mobile.
Я расскажу тебе интересную историю.	I'll tell you an interesting story.
Благодарю!	Thanks!
Когда я в последний раз говорил тебе, что люблю тебя?	When was the last time I told you I loved you?
Это не мой бумажник.	This isn't my wallet.
Том будет в бешенстве, если ты выиграешь.	Tom will be furious if you win.
Что вы об этом думаете? Было бы здорово!	What do you think about it? It'd be great!
Том, похоже, был не в курсе произошедшего.	Tom didn't seem to be aware of what had happened.
Это непрактично.	That's impractical.
Том - математический гений.	Tom is a math genius.
Ключ только у Тома.	Tom is the only one with a key.
Том живёт один в большом доме.	Tom lives alone in a large house.
Я думал, все уже знают.	I thought that everybody already knew this.
Жизнь не может существовать без воды.	Life can't exist without water.
Мы просто обедали.	We were just eating lunch.
Почему ты не сделал этого в понедельник?	Why didn't you do that on Monday?
Том оставил зонт дома.	Tom left his umbrella at home.
Кто эта женщина?	Who is that woman?
Том и Мария живут в старом замке.	Tom and Mary live in an old castle.
Вертолёт летит очень низко.	The helicopter is flying very low.
Сколько времени длилась операция?	How long did the surgery take?
Вот, пожалуйста.	There it is.
Ты плакал?	Have you been crying?
Многие считают, что этого не будет.	Many people believe that isn't going to happen.
Положитесь на меня.	Leave it to me.
